Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-11-19,07:45,42.7,42.7,99.8,0.0,NW@3.4,5.7,1.0,31,44.1,42.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,08:00,43.8,43.8,99.8,0.0,NW@4.1,5.7,0.99,52,44.1,43.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,08:15,44.2,44.1,99.5,0.0,N@4.6,6.0,0.95,79,44.1,43.8,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,08:30,44.9,44.7,99.1,0.0,N@3.7,6.0,0.94,107,44.1,44.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,08:45,45.4,44.4,96.3,0.0,N@3.6,5.7,0.92,91,44.0,45.0,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,09:00,46.4,44.7,93.7,0.0,SW@0.6,2.8,0.89,126,44.1,46.0,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,09:15,45.9,44.3,93.9,0.0,S@3.0,5.3,0.85,107,44.1,45.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,09:30,43.8,43.7,99.7,0.0,S@3.4,4.9,0.76,153,44.1,43.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,09:45,44.5,44.4,99.7,0.0,NW@1.6,5.3,0.6,162,44.1,44.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,10:00,44.1,44.0,99.8,0.0,N@4.4,7.4,0.33,172,44.2,43.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
