Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-08-08,00:15,60.7,52.8,74.9,0.0,0,30.07,0.3,2.4,0.0,77.7,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,00:30,59.6,52.8,78.1,0.0,0,30.06,0.2,2.4,0.0,77.7,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,00:45,59.8,53.1,78.3,0.0,0,30.06,0.0,0.0,0.0,77.7,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,01:00,60.4,52.7,75.4,0.0,0,30.06,0.0,0.0,0.0,77.6,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,01:15,59.6,53.4,79.9,0.0,0,30.06,0.0,1.4,0.0,77.6,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,01:30,61.8,49.3,63.5,0.0,0,30.06,2.0,7.8,0.0,77.6,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,01:45,62.5,50.1,63.7,0.0,0,30.05,1.0,3.9,0.0,77.6,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,02:00,62.2,48.9,61.7,0.0,0,30.05,2.7,7.1,0.0,77.5,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,02:15,60.4,50.1,68.6,0.0,0,30.05,2.2,4.9,0.0,77.5,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,02:30,58.8,50.3,73.3,0.0,0,30.06,0.8,3.5,0.0,77.5,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,02:45,58.6,50.3,73.8,0.0,0,30.06,0.4,3.1,0.0,77.4,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,03:00,58.7,48.3,68.3,0.0,0,30.06,1.8,3.9,0.0,77.4,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,03:15,59.2,47.9,66.2,0.0,0,30.06,2.3,3.5,0.0,77.4,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,03:30,58.4,47.9,68.0,0.0,0,30.06,0.9,2.8,0.0,77.3,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,03:45,55.1,48.5,78.3,0.0,0,30.06,1.2,3.1,0.0,77.3,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,04:00,56.7,48.2,73.3,0.0,0,30.06,1.9,4.2,0.0,77.3,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,04:15,59.6,47.4,64.0,0.0,0,30.07,2.2,6.4,0.0,77.2,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,04:30,61.3,47.7,60.8,0.0,0,30.07,2.2,4.9,0.0,77.2,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,04:45,59.6,48.0,65.3,0.0,1,30.07,3.3,7.1,0.0,77.2,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,05:00,58.9,48.2,67.3,0.0,6,30.07,2.2,4.2,0.0,77.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,05:15,58.1,48.3,69.8,0.0,16,30.08,1.2,3.1,0.0,77.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,05:30,58.9,48.4,67.9,0.0,29,30.08,3.2,6.4,0.0,77.0,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,05:45,60.6,48.2,63.7,0.0,42,30.09,2.9,4.9,0.0,77.0,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,06:00,61.0,48.5,63.2,0.0,57,30.09,4.3,8.5,0.0,76.9,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,06:15,61.9,48.7,61.8,0.0,91,30.09,4.5,9.6,0.0,76.9,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,06:30,62.9,49.1,60.5,0.0,144,30.09,3.5,6.0,0.0,76.8,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,06:45,63.3,49.7,61.3,0.0,193,30.09,4.1,6.4,0.0,76.7,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,07:00,64.8,49.7,58.1,0.0,224,30.09,4.3,6.7,0.0,76.7,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,07:15,66.2,49.0,53.9,0.0,298,30.09,4.9,8.2,0.0,76.7,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,07:30,67.3,49.1,52.0,0.0,350,30.09,4.8,8.5,0.0,76.7,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,07:45,68.5,48.9,49.7,0.0,395,30.09,5.1,8.9,0.0,76.6,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,08:00,69.7,48.9,47.4,0.0,429,30.08,5.1,9.2,0.0,76.5,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,08:15,70.3,48.9,46.5,0.0,474,30.08,6.8,12.1,0.0,76.5,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,08:30,70.8,49.4,46.6,0.0,515,30.07,6.6,10.7,0.0,76.4,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,08:45,72.0,49.1,44.4,0.0,548,30.07,7.5,11.7,0.0,76.4,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,09:00,72.7,48.9,42.8,0.0,573,30.07,7.8,12.4,0.0,76.3,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,09:15,73.5,48.9,41.9,0.0,618,30.07,6.9,10.3,0.0,76.3,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,09:30,74.3,49.4,41.4,0.0,648,30.07,6.5,10.3,0.0,76.3,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,09:45,75.0,49.2,40.1,0.0,678,30.07,5.5,8.9,0.0,76.2,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,10:00,75.4,49.4,40.0,0.0,707,30.07,5.6,9.6,0.0,76.2,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,10:15,76.4,48.9,37.9,0.0,735,30.07,4.9,9.6,0.0,76.2,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,10:30,77.2,49.7,38.0,0.0,759,30.07,4.8,8.2,0.0,76.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,10:45,77.8,48.7,36.0,0.0,781,30.07,4.3,7.4,0.0,76.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,11:00,78.2,48.8,35.6,0.0,798,30.07,3.7,7.8,0.0,76.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,11:15,78.4,48.8,35.4,0.0,815,30.06,3.8,8.5,0.0,76.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,11:30,79.1,49.0,34.8,0.0,820,30.06,3.6,7.4,0.0,76.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,11:45,78.8,48.5,34.5,0.0,833,30.06,4.5,9.9,0.0,76.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,12:00,79.8,48.3,33.1,0.0,821,30.05,4.0,8.5,0.0,76.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
2020-08-08,12:15,80.4,47.6,31.7,0.0,870,30.05,4.1,9.9,0.0,76.1,,"Naches, Yakima County",310126,Naches,2020-12-14 04:26:50.229249
