Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2015-03-05,00:15,32.4,27.7,82.6,0.0,0,,SE,0.7,6.4,,43.3,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,00:30,31.2,26.4,82.9,0.0,0,,NW,0.1,1.7,,43.3,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,00:45,30.4,26.0,84.5,0.0,0,,SE,0.1,2.1,,43.2,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,01:00,30.1,25.8,85.1,0.0,0,,N ,0.0,0.0,,43.2,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,01:15,30.7,26.7,85.9,0.0,0,,N ,0.0,0.0,,43.2,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,01:30,31.4,27.4,85.5,0.0,0,,N ,0.0,0.0,,43.1,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,01:45,30.2,25.9,85.3,0.0,0,,S,1.4,3.9,,43.1,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,02:00,30.9,26.9,85.9,0.0,0,,E,1.9,3.9,,43.0,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,02:15,31.0,26.9,85.6,0.0,0,,NE,1.0,2.8,,43.0,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
2015-03-05,02:30,30.2,26.3,86.3,0.0,0,,SW,0.0,1.4,,42.9,,,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2020-12-23 00:33:22.475159
