Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg, 8 in. SWP kPa, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-01-12,23:15,29.3,SW@43.5,59.3,0.0,0,24.1,82.4,29.61,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-12,23:30,29.2,SW@41.5,50.2,0.0,0,23.9,82.3,29.61,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-12,23:45,29.1,SW@36.9,55.6,0.0,0,23.8,82.3,29.62,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-12,24:00,28.8,SW@40.4,53.6,0.0,0,23.5,82.0,29.61,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,00:15,28.6,SW@43.1,53.6,0.0,0,23.4,82.6,29.62,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,00:30,28.4,SW@43.9,57.0,0.0,0,23.4,83.2,29.62,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,00:45,28.2,SW@45.7,56.5,0.0,0,23.8,85.3,29.62,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,01:00,28.4,SW@43.3,56.0,0.0,0,23.9,85.4,29.63,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,01:15,28.6,SW@43.7,56.3,0.0,0,23.9,84.4,29.63,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,01:30,28.5,SW@42.3,52.7,0.0,0,24.0,84.9,29.64,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,01:45,28.4,SW@37.4,51.4,0.0,0,24.4,86.8,29.65,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,02:00,28.5,SW@35.6,45.6,0.0,0,25.0,88.8,29.66,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,02:15,28.0,SW@32.8,47.6,0.0,0,25.1,91.2,29.67,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,02:30,28.0,SW@36.0,46.0,0.0,0,25.4,92.4,29.67,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,02:45,28.0,SW@36.3,49.7,0.0,0,25.4,92.6,29.67,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,03:00,27.8,W@30.0,37.3,0.0,0,25.4,93.5,29.68,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,03:15,27.5,W@35.0,47.1,0.0,0,25.4,94.7,29.68,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,03:30,27.3,W@33.6,44.4,0.0,0,25.3,95.1,29.69,-11.4,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,03:45,27.2,W@28.3,37.2,0.0,0,25.3,95.5,29.69,-11.5,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,04:00,27.4,W@27.0,34.1,0.0,0,25.8,96.7,29.69,-11.5,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,04:15,27.5,W@28.1,35.8,0.0,0,25.9,96.3,29.69,-11.5,,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,04:30,27.5,W@28.6,37.5,0.0,0,25.9,96.5,29.69,-11.5,34.0,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,04:45,27.3,W@23.9,31.7,0.0,0,25.8,97.4,29.7,-11.5,34.0,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,05:00,27.0,W@25.0,36.7,0.0,0,25.8,98.5,29.7,-11.5,34.0,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,05:15,26.8,W@27.7,41.3,0.0,0,25.8,99.3,29.71,-11.5,34.0,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,05:30,26.5,W@25.7,37.2,0.0,0,26.5,100.0,29.71,-11.5,34.0,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,05:45,26.0,W@23.7,29.1,0.0,0,24.9,99.6,29.73,-11.5,34.0,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
2020-01-13,06:00,25.5,W@22.7,28.9,0.0,0,23.8,97.5,29.74,-11.5,34.0,"Pomeroy.E, Pomeroy, Garfield County",100022,Pomeroy.E,2020-06-01 20:33:37.791615
