Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2013-04-17,00:15,24.4,23.9,17.5,78.5,0.0,NE@6.2,7.4,48.5,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,00:30,23.9,23.6,17.3,79.3,0.0,NE@5.6,7.4,48.3,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,00:45,26.8,26.6,18.3,72.4,0.0,NE@6.4,7.8,48.0,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,01:00,27.8,27.5,18.1,68.3,0.0,NE@7.0,8.5,47.8,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,01:15,25.8,25.2,17.0,71.8,0.0,NE@6.1,7.1,47.6,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,01:30,23.7,23.1,16.2,76.5,0.0,NE@5.9,6.7,47.4,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,01:45,23.6,23.2,16.6,78.2,0.0,NE@5.9,7.1,47.1,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,02:00,25.3,25.0,17.6,75.2,0.0,NE@6.1,7.4,46.9,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,02:15,23.7,23.2,16.4,77.2,0.0,NE@6.0,7.8,46.7,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,02:30,24.6,24.3,17.4,77.2,0.0,NE@7.4,8.9,46.5,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,02:45,24.0,23.5,16.9,77.8,0.0,NE@7.3,9.2,46.3,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,03:00,23.5,22.9,16.5,78.4,0.0,NE@6.9,8.5,46.1,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,03:15,20.9,20.3,14.8,82.1,0.0,NE@6.8,7.8,45.9,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,03:30,20.4,20.0,14.8,84.1,0.0,NE@6.9,8.2,45.7,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,03:45,20.6,20.2,15.1,84.5,0.0,NE@7.1,7.8,45.6,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,04:00,21.2,20.8,15.7,84.1,0.0,NE@6.0,7.4,45.4,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,04:15,21.2,20.7,15.5,83.6,0.0,NE@4.7,5.7,45.2,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,04:30,21.6,21.2,16.0,83.6,0.0,NE@4.0,4.9,45.0,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,04:45,22.2,21.8,16.0,81.4,0.0,NE@4.2,6.7,44.8,0.0,0,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,05:00,21.3,20.5,14.8,80.5,0.0,N@4.9,6.4,44.7,0.0,1,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,05:15,22.3,22.2,16.2,81.7,0.0,NE@6.2,7.8,44.5,0.0,10,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
2013-04-17,05:30,24.4,23.8,17.0,76.8,0.0,NE@5.7,7.1,44.3,0.0,36,"Mesa SE, Franklin County",300047,Mesa SE,2017-12-11 20:22:14.376167
