Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-02-06,23:15,38.7,36.9,93.1,0.0,NW@2.2,3.9,0.2,0,39.5,40.1,15.0,29.93,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-06,23:30,38.7,36.9,93.0,0.0,NW@0.7,2.8,0.19,0,39.5,40.1,15.0,29.93,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-06,23:45,38.4,36.7,93.5,0.0,SE@0.2,2.4,0.21,0,39.4,40.1,15.0,29.93,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-06,24:00,37.7,36.2,94.4,0.0,NW@1.8,4.2,0.23,0,39.4,40.1,15.0,29.94,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,00:15,37.4,36.3,95.8,0.0,N@2.2,3.5,0.24,0,39.3,40.1,15.0,29.94,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,00:30,37.4,36.4,96.3,0.0,N@2.3,4.9,0.24,0,39.3,40.1,15.0,29.94,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,00:45,37.1,36.3,96.7,0.0,SE@1.3,3.5,0.24,0,39.2,40.1,15.0,29.93,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,01:00,37.1,36.4,97.1,0.0,W@2.6,5.3,0.24,0,39.1,40.1,15.0,29.92,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,01:15,36.8,36.2,97.4,0.0,NW@1.4,4.2,0.24,0,39.1,40.1,15.0,29.94,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,01:30,36.3,35.6,97.5,0.0,NE@1.2,5.7,0.23,0,39.0,40.1,15.0,29.95,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,01:45,36.3,35.8,98.0,0.0,NW@2.4,4.6,0.24,0,38.9,40.1,15.0,29.95,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,02:00,37.5,37.0,98.0,0.0,NW@3.1,4.6,0.25,0,38.9,40.1,15.0,29.96,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,02:15,37.8,37.1,97.0,0.0,NW@2.6,4.6,0.27,0,38.8,40.1,15.0,29.96,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,02:30,38.2,37.2,96.0,0.0,N@2.8,4.2,0.28,0,38.8,40.1,15.0,29.97,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,02:45,38.4,37.2,95.4,0.0,NW@2.0,4.9,0.28,0,38.7,40.1,15.0,29.97,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,03:00,38.2,37.2,96.0,0.0,NW@0.8,3.5,0.28,0,38.7,40.1,15.0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,03:15,37.8,36.7,96.0,0.0,NW@2.6,4.2,0.29,0,38.7,40.1,15.0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,03:30,37.9,37.1,96.6,0.0,NW@1.7,3.5,0.28,0,38.6,40.1,15.0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,03:45,37.5,36.6,96.5,0.0,NW@2.2,3.5,0.28,0,38.6,40.1,15.0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,04:00,37.5,36.6,96.5,0.0,NW@2.2,3.9,0.28,0,38.6,40.1,15.0,29.99,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,04:15,37.6,36.7,96.6,0.0,NW@3.1,3.9,0.28,0,38.5,40.1,15.0,29.99,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,04:30,37.4,36.5,96.8,0.0,NW@4.4,6.0,0.27,0,38.5,40.1,15.0,30.01,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,04:45,37.7,37.0,97.5,0.0,NW@4.5,6.0,0.25,0,38.5,40.0,15.0,30.01,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,05:00,38.1,37.5,97.7,0.0,NW@3.5,4.9,0.19,0,38.5,40.0,15.0,30.01,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,05:15,38.2,37.5,97.3,0.0,N@2.3,5.3,0.11,0,38.5,40.0,15.0,30.02,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,05:30,38.3,37.3,96.1,0.0,N@3.3,5.3,0.07,0,38.5,40.0,15.0,30.01,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,05:45,38.3,37.2,95.6,0.0,N@2.8,4.6,0.05,0,38.5,40.0,15.0,30.02,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,06:00,38.5,37.0,94.3,0.0,NW@4.3,7.1,0.0,0,38.5,40.0,15.0,30.02,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,06:15,38.5,37.0,94.2,0.0,NW@5.2,7.4,0.0,0,38.6,40.0,15.0,30.02,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,06:30,38.5,36.9,94.0,0.0,NW@5.3,7.4,0.0,0,38.6,40.0,15.0,30.03,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,06:45,38.4,36.9,94.0,0.0,NW@3.0,4.9,0.0,0,38.6,40.0,15.0,30.02,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,07:00,38.4,36.9,94.5,0.0,NW@5.9,9.6,0.0,1,38.6,39.9,15.0,30.02,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,07:15,38.4,36.9,94.3,0.0,N@5.6,8.5,0.0,2,38.6,39.9,15.0,30.03,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,07:30,38.4,36.9,94.1,0.0,NW@5.0,7.1,0.0,2,38.6,39.9,15.0,30.04,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,07:45,38.4,36.9,94.5,0.0,NW@5.0,7.8,0.0,6,38.6,39.9,15.0,30.05,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,08:00,38.4,37.0,94.8,0.0,NW@4.9,7.1,0.0,11,38.6,39.9,15.0,30.04,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
2020-02-07,08:15,38.4,37.1,95.2,0.0,NW@5.3,7.4,0.0,7,38.6,39.9,15.0,30.05,"Vantage, Vantage, Kittitas County",300212,Vantage,2020-05-03 13:43:59.876777
