Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-03-04,23:15,37.5,SE@1.5,4.2,0.0,0,30.3,74.8,30.08,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-04,23:30,37.2,E@1.8,4.8,0.0,0,30.3,75.8,30.07,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-04,23:45,37.3,E@1.9,7.4,0.0,0,29.9,74.4,30.07,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-04,24:00,37.3,E@2.2,5.2,0.0,0,29.9,74.3,30.07,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,00:15,37.2,SE@1.8,3.7,0.0,0,29.9,74.6,30.07,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,00:30,36.4,E@2.1,4.4,0.0,0,29.9,76.9,30.07,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,00:45,36.6,E@2.1,3.8,0.0,0,29.8,76.4,30.06,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,01:00,36.0,E@1.7,3.7,0.0,0,29.7,77.5,30.06,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,01:15,36.3,E@1.9,4.1,0.0,0,29.4,75.9,30.06,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,01:30,36.5,E@2.0,4.6,0.0,0,29.5,75.4,30.06,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,01:45,36.1,SE@1.7,3.6,0.0,0,29.4,76.6,30.06,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,02:00,36.4,SE@1.5,3.9,0.0,0,29.4,75.5,30.06,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,02:15,35.6,E@1.9,4.5,0.0,0,29.4,77.8,30.05,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,02:30,35.2,SE@1.6,3.9,0.0,0,29.4,79.2,30.05,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,02:45,35.2,SE@1.3,3.4,0.0,0,29.0,77.7,30.05,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,03:00,34.8,SE@1.2,2.5,0.0,0,29.0,79.2,30.04,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,03:15,36.1,SE@1.3,3.2,0.0,0,29.4,76.3,30.04,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,03:30,35.2,E@1.6,3.4,0.0,0,29.4,79.1,30.04,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,03:45,34.7,E@1.7,2.9,0.0,0,29.1,79.6,30.04,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,04:00,35.0,SE@1.5,3.0,0.0,0,29.0,78.4,30.03,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,04:15,34.7,E@1.5,3.6,0.0,0,29.0,79.3,30.03,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,04:30,34.5,SE@1.9,3.7,0.0,0,29.0,79.9,30.03,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,04:45,34.0,SE@2.0,4.7,0.0,0,29.0,81.5,30.03,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,05:00,34.0,E@2.0,4.4,0.0,0,29.0,81.5,30.03,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,05:15,34.1,E@1.8,3.2,0.0,0,28.9,81.2,30.03,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,05:30,34.1,SE@1.2,3.3,0.0,0,28.5,79.8,30.03,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
2020-03-05,05:45,33.8,S@1.1,2.4,0.0,0,28.5,80.8,30.03,"Dog.River*, Hood River, Hood River County",100002,"Dog.River, OR",2020-06-01 00:24:39.301682
