Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2015-10-29,09:15,56.6,54.1,91.2,0.0,11,30.05,E,2.1,6.0,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,09:30,56.9,54.0,89.9,0.0,19,30.05,NE,2.4,7.8,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,09:45,57.0,54.0,89.7,0.0,35,30.05,E,2.5,6.4,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,10:00,57.2,54.2,89.8,0.0,51,30.05,E,2.1,6.7,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,10:15,57.2,54.4,90.2,0.0,50,30.06,E,1.2,3.9,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,10:30,57.7,54.3,88.4,0.0,91,30.06,E,1.7,4.6,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,10:45,58.0,54.2,87.3,0.0,82,30.06,NE,2.4,5.3,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,11:00,58.3,54.6,87.2,0.0,108,30.06,NE,2.6,6.0,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,11:15,58.6,54.8,87.2,0.0,119,30.07,NE,2.0,4.9,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,11:30,58.9,54.9,86.5,0.0,123,30.07,NE,2.8,7.1,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,11:45,59.2,55.0,86.0,0.0,162,30.07,E,3.1,6.4,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,12:00,59.5,55.0,85.1,0.0,104,30.06,NE,2.8,6.7,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,12:15,59.4,54.9,84.9,0.0,79,30.07,E,3.1,7.1,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,12:30,59.1,54.9,85.7,0.0,64,30.07,E,3.7,8.2,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,12:45,59.3,55.3,86.4,0.0,131,30.07,NE,3.5,6.7,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,13:00,59.7,55.7,86.6,0.0,160,30.06,E,3.1,7.1,0.0,57.3,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,13:15,59.3,55.8,87.9,0.0,137,30.05,E,3.7,7.4,0.01,57.4,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,13:30,59.1,55.7,88.6,0.0,159,30.04,NE,3.4,7.1,0.04,57.4,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,13:45,59.5,55.6,86.7,0.0,190,30.04,E,3.5,8.9,0.0,57.4,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,14:00,59.3,55.3,86.3,0.0,110,30.03,E,4.0,10.3,0.01,57.4,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,14:15,58.9,55.7,89.1,0.0,79,30.03,E,3.5,8.2,0.27,57.4,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,14:30,58.2,55.7,91.3,0.0,52,30.03,NE,3.4,7.4,0.73,57.4,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,14:45,58.5,56.1,91.6,0.0,97,30.03,E,3.4,6.0,0.65,57.5,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
