Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-05-22,00:15,50.6,44.9,80.8,W@1.5,3.0,0.0,0,29.84,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,00:30,50.4,44.7,80.8,W@1.9,5.3,0.0,0,29.84,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,00:45,50.2,45.2,82.7,W@2.9,7.0,0.0,0,29.84,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,01:00,49.8,45.2,84.2,SW@2.9,6.1,0.0,0,29.83,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,01:15,50.0,45.0,82.7,SW@3.0,7.6,0.0,0,29.83,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,01:30,50.0,44.8,82.3,W@3.2,7.7,0.0,0,29.83,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,01:45,50.1,44.8,82.0,SW@3.3,7.9,0.0,0,29.83,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,02:00,50.1,44.8,81.9,SW@3.4,8.0,0.0,0,29.83,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,02:15,50.3,44.8,81.5,W@3.7,8.2,0.0,0,29.84,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
2019-05-22,02:30,50.2,44.8,81.5,SW@3.0,5.9,0.0,0,29.84,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2019-06-24 21:03:25.869138
