Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-12-02,00:15,23.7,23.7,SE@1.0,2.1,0.0,0,21.7,96.7,30.11,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,00:30,23.7,23.7,SW@1.0,2.9,0.0,0,21.7,96.7,30.11,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,00:45,23.5,23.7,SW@0.9,2.6,0.0,0,21.7,97.6,30.11,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,01:00,23.0,23.5,SW@2.2,3.5,0.0,0,21.4,99.0,30.11,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,01:15,22.9,23.2,SW@2.1,4.4,0.0,0,21.0,97.9,30.11,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,01:30,22.8,23.1,SW@1.9,3.3,0.0,0,21.0,98.1,30.1,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,01:45,22.6,23.0,SW@2.1,3.9,0.0,0,20.9,98.8,30.11,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,02:00,22.4,22.8,S@1.7,4.2,0.0,0,20.4,97.2,30.11,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,02:15,22.3,22.7,S@1.7,3.4,0.0,0,20.4,97.8,30.11,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,02:30,22.1,22.6,S@1.1,2.7,0.0,0,20.4,98.6,30.12,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,02:45,21.8,22.4,W@1.7,3.9,0.0,0,20.1,99.2,30.12,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,03:00,21.5,22.1,SW@2.0,3.3,0.0,0,19.7,98.8,30.12,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,03:15,21.2,21.7,SW@1.4,2.8,0.0,0,19.3,98.6,30.12,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,03:30,20.7,21.1,SW@1.1,2.3,0.0,0,18.7,98.3,30.13,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,03:45,20.0,20.5,SW@1.7,2.9,0.0,0,18.0,98.5,30.13,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,04:00,19.4,19.7,W@1.5,2.3,0.0,0,17.1,97.8,30.13,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,04:15,18.9,19.0,W@1.9,3.0,0.0,0,16.3,96.4,30.14,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,04:30,18.5,18.5,W@2.3,4.8,0.0,0,15.7,95.9,30.14,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,04:45,18.2,18.0,W@1.1,3.6,0.0,0,15.5,96.2,30.14,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,05:00,18.0,17.7,S@1.3,2.5,0.0,0,14.8,94.2,30.14,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,05:15,18.2,17.7,SW@1.5,2.3,0.0,0,14.9,93.7,30.14,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,05:30,18.7,18.0,W@1.3,2.4,0.0,0,15.5,94.1,30.15,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,05:45,18.8,18.3,W@1.5,3.1,0.0,0,15.5,93.8,30.15,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,06:00,18.5,18.3,W@1.7,3.0,0.0,0,15.5,95.1,30.15,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,06:15,18.3,18.2,W@1.3,3.0,0.0,0,15.5,95.8,30.15,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,06:30,18.2,17.9,W@1.3,2.5,0.0,0,15.5,96.3,30.15,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,06:45,17.8,17.7,SW@1.2,2.5,0.0,0,15.1,96.5,30.15,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,07:00,17.2,17.2,W@1.7,3.0,0.0,0,14.7,97.3,30.15,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,07:15,17.0,16.8,W@1.8,4.1,0.0,0,14.0,95.3,30.16,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,07:30,16.8,16.6,W@2.1,4.0,0.0,1,13.9,95.9,30.16,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,07:45,16.8,16.5,W@1.8,3.3,0.0,6,13.9,96.0,30.16,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,08:00,16.8,16.7,W@1.6,2.9,0.0,15,13.9,96.0,30.16,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,08:15,17.9,17.4,W@1.5,3.3,0.0,23,14.8,94.7,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,08:30,17.8,18.5,W@2.2,3.7,0.0,37,15.8,99.4,30.16,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,08:45,18.4,19.7,W@2.0,4.0,0.0,57,16.6,99.9,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,09:00,19.6,21.3,NW@1.7,4.3,0.0,61,17.8,99.8,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,09:15,20.3,22.2,N@1.8,4.9,0.0,78,18.6,99.9,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,09:30,20.5,23.1,NW@1.7,4.5,0.0,80,18.8,99.6,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,09:45,21.0,23.7,NW@2.0,4.7,0.0,95,21.0,100.0,30.18,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,10:00,21.4,24.5,NW@1.7,4.0,0.0,106,21.4,100.0,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,10:15,21.7,25.2,NW@1.8,3.8,0.0,119,21.7,100.0,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,10:30,22.1,25.9,NW@1.9,4.9,0.0,123,22.1,100.0,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,10:45,22.4,26.6,N @1.3,3.3,0.0,133,21.0,100.0,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
2019-12-02,11:00,22.8,28.2,NE@0.8,2.6,0.0,147,21.4,99.9,30.17,"Wamic.S, WAMIC, Wasco County",100003,"Wamic.S, OR",2020-01-21 13:56:45.950861
