Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-07-19,00:15,69.2,46.5,44.1,0.0,0,N ,1.7,3.1,0.0,79.5,79.7,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,00:30,68.6,46.8,45.6,0.0,0,N ,1.8,3.5,0.0,79.1,79.5,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,00:45,67.4,47.3,48.4,0.0,0,N,1.7,2.4,0.0,78.8,79.4,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,01:00,67.0,47.9,50.2,0.0,0,N,1.0,2.8,0.0,78.4,79.3,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,01:15,64.7,50.6,60.2,0.0,0,NE,0.7,3.1,0.03,78.1,79.1,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,01:30,63.5,50.2,61.8,0.0,0,N ,0.4,2.4,0.03,77.7,79.0,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,01:45,62.4,51.1,66.6,0.0,0,N,0.9,2.4,0.05,77.4,78.8,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,02:00,61.8,51.8,69.6,0.0,0,N ,2.0,2.8,0.06,77.0,78.7,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,02:15,62.3,51.6,68.0,0.0,0,N,2.4,3.9,0.04,76.7,78.6,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,02:30,62.4,51.2,66.7,0.0,0,N,2.3,3.5,0.04,76.4,78.4,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,02:45,62.7,50.4,64.0,0.0,0,N,2.6,3.9,0.03,76.1,78.3,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,03:00,62.5,48.3,59.7,0.0,0,N,2.2,3.1,0.02,75.8,78.1,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,03:15,62.2,47.2,57.8,0.0,0,N,1.9,2.8,0.02,75.5,78.0,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,03:30,61.4,47.7,60.8,0.0,0,N,1.6,2.8,0.02,75.3,77.9,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
2020-07-19,03:45,60.3,48.3,64.5,0.0,0,N,1.3,2.1,0.04,75.0,77.7,"Sunside.N, Yakima County",310136,Sunside.N,2020-12-14 00:08:31.579866
