Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2018-09-22,00:15,67.2,67.4,47.5,49.0,0.0,SW@7.0,10.7,61.4,63.7,0.0,0,29.86,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,00:30,67.1,67.3,47.8,49.9,0.0,S@7.4,11.0,61.3,63.6,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,00:45,66.6,66.8,48.2,51.6,0.0,S@7.0,11.0,61.2,63.6,0.0,0,29.84,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,01:00,66.7,67.0,48.3,51.4,0.0,SW@8.3,12.4,61.1,63.6,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,01:15,66.6,66.8,48.3,51.6,0.0,SW@7.1,15.7,60.9,63.6,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,01:30,66.4,66.6,48.4,52.2,0.0,SW@8.8,15.3,60.8,63.5,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,01:45,65.8,66.0,48.5,53.6,0.0,SW@8.5,13.9,60.7,63.5,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,02:00,66.3,66.5,48.3,52.3,0.0,W@7.8,15.7,60.6,63.5,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,02:15,65.3,65.5,48.6,54.7,0.0,W@6.3,11.0,60.5,63.4,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,02:30,64.5,64.7,49.1,57.3,0.0,W@4.5,8.9,60.3,63.4,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,02:45,65.2,65.4,49.4,56.5,0.0,W@10.5,16.0,60.3,63.4,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,03:00,65.2,65.4,49.6,56.9,0.0,SW@12.5,18.2,60.2,63.4,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,03:15,64.4,64.5,49.8,59.2,0.0,SW@10.2,15.3,60.1,63.3,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,03:30,63.5,63.7,50.1,61.6,0.0,SW@8.3,12.1,60.0,63.3,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,03:45,63.1,63.3,50.3,62.9,0.0,SW@10.1,15.0,59.9,63.3,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,04:00,62.2,62.4,50.4,65.2,0.0,SW@8.4,12.4,59.7,63.2,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
2018-09-22,04:15,62.0,62.2,50.2,65.0,0.0,W@5.4,8.2,59.6,63.2,0.0,0,29.85,"Toppenish, Yakima County",310031,Toppenish,2019-06-25 02:33:55.688956
