Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2015-01-30,00:15,35.5,35.5,34.3,95.2,0.07,W@3.1,4.6,38.1,39.5,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,00:30,35.6,35.6,34.2,94.7,0.06,NW@2.1,3.9,38.1,39.5,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,00:45,35.7,35.5,34.3,94.6,0.07,N@0.9,2.4,38.1,39.5,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,01:00,35.8,35.6,34.1,93.5,0.06,NW@0.7,2.4,38.1,39.5,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,01:15,35.8,35.7,33.9,92.6,0.02,W@1.1,3.1,38.0,39.5,0.0,0,30.44,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,01:30,35.9,35.7,34.0,92.8,0.05,SW@1.0,3.1,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,01:45,35.9,35.9,34.0,92.5,0.03,W@1.1,2.4,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,02:00,36.0,35.9,34.0,92.2,0.03,N@2.2,3.5,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,02:15,36.0,35.8,34.2,93.3,0.07,N@1.3,2.8,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,02:30,35.9,35.7,34.3,94.0,0.07,NE@1.0,2.8,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,02:45,35.7,35.5,34.4,95.1,0.11,NE@0.4,1.7,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,03:00,35.7,35.5,34.7,96.1,0.21,SE@0.3,1.7,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,03:15,35.7,35.4,34.7,96.2,0.29,N@0.0,0.0,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,03:30,35.9,35.8,34.4,94.3,0.23,NW@1.2,3.1,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,03:45,35.8,35.7,34.4,94.5,0.15,NW@0.7,2.1,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,04:00,35.8,35.6,34.6,95.2,0.13,SW@0.4,1.7,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,04:15,35.8,35.6,34.8,96.1,0.12,W@1.0,2.8,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,04:30,35.8,35.7,34.6,95.6,0.09,W@3.0,4.6,38.0,39.4,0.0,0,30.44,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,04:45,35.8,35.7,34.6,95.4,0.09,SW@2.8,4.6,38.0,39.4,0.0,0,30.44,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,05:00,35.9,35.8,34.5,94.7,0.08,W@2.5,4.2,38.0,39.4,0.0,0,30.45,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,05:15,35.9,35.7,34.6,94.8,0.1,W@0.9,2.4,38.0,39.4,0.0,0,30.44,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,05:30,35.9,35.6,34.6,94.9,0.14,N@0.0,0.0,38.0,39.4,0.0,0,30.44,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,05:45,35.7,35.5,34.6,95.5,0.21,SW@1.5,3.5,38.0,39.4,0.0,0,30.44,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,06:00,35.7,35.6,34.7,96.1,0.21,SW@2.9,4.6,38.0,39.4,0.0,0,30.43,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,06:15,35.7,35.6,34.7,96.3,0.19,SW@2.1,4.2,38.0,39.4,0.0,0,30.43,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,06:30,35.6,35.5,34.6,96.2,0.13,NW@2.7,3.5,38.0,39.4,0.0,0,30.43,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,06:45,35.5,35.5,34.6,96.5,0.12,W@3.2,4.2,38.0,39.4,0.0,0,30.44,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
2015-01-30,07:00,35.6,35.5,34.6,96.3,0.12,W@2.9,3.5,38.0,39.4,0.0,0,30.44,"Toppenish, Yakima County",310031,Toppenish,2017-12-05 09:10:27.029148
