Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2020-01-02,00:15,38.0,30.7,74.8,0.0,NE@3.5,9.9,0.0,0,37.8,41.0,29.88,38.1,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,00:30,41.1,31.8,69.3,0.0,NE@5.5,10.3,0.0,0,37.6,41.0,29.89,41.2,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,00:45,39.0,31.5,74.2,0.0,NE@2.7,5.3,0.0,0,37.5,40.9,29.9,39.0,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,01:00,37.6,31.4,78.2,0.0,E@2.1,4.9,0.0,0,37.4,40.9,29.9,37.6,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,01:15,36.6,31.2,80.5,0.0,E@3.8,5.3,0.0,0,37.2,40.8,29.9,36.6,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,01:30,36.5,31.7,82.6,0.0,E@3.1,6.0,0.0,0,37.0,40.8,29.91,36.4,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,01:45,36.6,31.5,81.6,0.0,NE@2.7,4.9,0.0,0,36.8,40.8,29.91,36.7,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,02:00,35.7,31.0,82.9,0.0,NE@2.1,3.9,0.0,0,36.6,40.7,29.91,35.8,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,02:15,35.7,31.1,83.0,0.0,NE@2.9,4.9,0.0,0,36.5,40.7,29.93,35.9,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,02:30,36.2,31.1,81.8,0.0,NE@3.9,6.0,0.0,0,36.3,40.7,29.93,36.3,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,02:45,36.6,31.1,80.2,0.0,E@5.0,7.4,0.0,0,36.2,40.6,29.93,36.7,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,03:00,36.6,30.7,78.9,0.0,E@4.7,6.7,0.0,0,36.0,40.6,29.94,36.7,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,03:15,36.5,30.6,79.2,0.0,E@5.1,7.4,0.0,0,35.9,40.6,29.94,36.5,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,03:30,37.1,30.6,77.3,0.0,E@6.2,8.5,0.0,0,35.8,40.5,29.95,37.2,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,03:45,36.8,30.5,77.7,0.0,SE@5.4,8.5,0.0,0,35.7,40.5,29.95,36.9,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,04:00,36.7,30.5,78.1,0.0,E@5.9,9.2,0.0,0,35.6,40.4,29.96,36.7,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,04:15,36.4,30.4,78.4,0.0,E@4.9,7.4,0.0,0,35.5,40.4,29.97,36.5,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,04:30,36.4,30.5,78.9,0.0,E@4.9,7.4,0.0,0,35.4,40.4,29.97,36.5,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,04:45,36.7,30.3,77.2,0.0,SE@3.5,6.0,0.0,0,35.3,40.3,29.96,36.8,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,05:00,35.3,30.1,80.9,0.0,NE@2.0,4.6,0.01,0,35.2,40.3,29.97,35.4,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
2020-01-02,05:15,36.7,30.2,77.1,0.0,E@3.2,6.7,0.0,0,35.1,40.2,29.98,36.8,"Toppenish, Yakima County",310031,Toppenish,2020-01-21 14:54:22.551848
