Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2020-07-30,00:15,54.3,51.4,89.8,0.0,0,30.03,E,1.0,2.2,65.2,64.9,-22.1,-18.1,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,00:30,53.4,51.5,93.2,0.0,0,30.03,W,0.7,1.3,64.9,64.9,-22.0,-18.1,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,00:45,52.7,50.7,92.7,0.0,0,30.03,NW,1.0,1.5,64.7,64.8,-22.0,-18.1,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,01:00,52.1,50.1,92.7,0.0,0,30.03,N ,0.9,1.3,64.5,64.8,-21.9,-18.1,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,01:15,51.5,49.7,93.7,0.0,0,30.03,NE,1.3,1.6,64.3,64.8,-21.9,-18.1,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,01:30,51.8,49.6,91.9,0.0,0,30.03,NE,0.5,1.2,64.1,64.8,-21.8,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,01:45,51.5,49.5,92.7,0.0,0,30.04,NW,0.7,1.1,63.9,64.8,-21.7,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,02:00,51.6,49.5,92.5,0.0,0,30.03,NE,0.6,1.3,63.7,64.8,-21.7,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,02:15,50.8,49.3,94.4,0.0,0,30.03,W,0.8,1.7,63.6,64.7,-21.6,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,02:30,50.2,48.9,94.9,0.0,0,30.03,SW,1.1,2.3,63.4,64.6,-21.6,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,02:45,49.9,48.3,94.4,0.0,0,30.03,SW,1.8,2.5,63.2,64.6,-21.5,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,03:00,50.9,48.6,91.8,0.0,0,30.03,W,1.1,2.5,63.0,64.6,-21.5,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,03:15,50.2,48.7,94.8,0.0,0,30.03,W,1.1,1.8,62.9,64.6,-21.5,-17.9,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,03:30,50.4,48.7,93.8,0.0,0,30.03,W,1.0,2.2,62.7,64.4,-21.4,-17.9,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,03:45,50.2,48.7,94.7,0.0,0,30.03,W,0.8,1.5,62.6,64.4,-21.3,-17.9,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,04:00,50.1,48.7,94.8,0.0,0,30.03,SW,1.1,1.5,62.4,64.4,-21.3,-17.8,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,04:15,50.2,48.6,94.1,0.0,0,30.03,SW,0.9,1.3,62.2,64.4,-21.2,-17.8,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,04:30,50.2,48.5,93.7,0.0,0,30.03,SW,0.9,1.6,62.1,64.3,-21.2,-17.8,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,04:45,50.5,48.7,93.4,0.0,2,30.03,SW,0.5,1.0,62.0,64.2,-21.1,-17.8,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,05:00,50.5,48.8,93.9,0.0,8,30.04,S,0.6,1.0,61.8,64.2,-21.0,-17.8,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,05:15,50.9,49.3,94.2,0.0,27,30.04,N,0.6,1.2,61.7,64.2,-21.0,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,05:30,51.8,50.3,94.6,0.0,53,30.05,S,0.7,1.4,61.5,64.0,-20.9,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,05:45,52.8,51.8,96.4,0.0,85,30.05,NW,0.5,1.2,61.5,64.0,-20.9,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,06:00,54.4,54.0,98.4,0.0,123,30.05,N,0.5,1.2,61.3,64.0,-20.8,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,06:15,56.6,56.4,99.4,0.0,158,30.05,NW,0.5,1.4,61.3,64.0,-20.8,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,06:30,57.8,57.7,99.6,0.0,192,30.05,W,1.8,2.6,61.3,63.9,-20.7,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,06:45,60.0,58.4,94.2,0.0,226,30.05,SW,1.6,2.4,61.3,63.9,-20.6,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,07:00,62.3,59.2,89.7,0.0,244,30.04,SW,1.4,2.7,61.4,63.8,-20.6,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,07:15,63.8,59.9,87.1,0.0,261,30.04,W,1.3,2.6,61.5,63.7,-20.5,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,07:30,65.4,60.9,85.3,0.0,323,30.04,SW,1.5,2.5,61.5,63.7,-20.3,-17.6,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,07:45,67.6,61.8,81.5,0.0,366,30.05,SW,1.4,2.8,61.7,63.7,-20.3,-17.6,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,08:00,68.3,62.0,80.4,0.0,404,30.05,SW,1.6,3.2,61.8,63.6,-20.3,-17.6,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,08:15,69.2,61.8,77.2,0.0,434,30.04,SW,1.9,3.4,62.0,63.5,-20.3,-17.6,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,08:30,71.2,61.9,72.2,0.0,430,30.04,W,1.2,3.2,62.2,63.5,-20.2,-17.6,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,08:45,72.9,62.3,69.3,0.0,480,30.04,NE,1.5,3.4,62.4,63.5,-20.2,-17.6,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,09:00,74.1,62.4,66.7,0.0,545,30.04,N,1.7,4.1,62.7,63.4,-20.2,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,09:15,75.1,62.3,64.3,0.0,574,30.04,SW,1.6,4.5,62.9,63.3,-20.2,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,09:30,76.6,62.3,61.3,0.0,602,30.03,S,1.6,4.5,63.2,63.3,-20.2,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,09:45,78.3,59.8,53.0,0.0,571,30.03,NE,2.9,6.8,63.6,63.3,-20.2,-17.7,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,10:00,79.2,59.1,50.2,0.0,653,30.03,NE,3.2,6.5,63.9,63.3,-20.2,-17.8,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,10:15,79.9,59.1,49.0,0.0,687,30.02,NE,3.1,6.0,64.3,63.3,-20.2,-17.8,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,10:30,81.0,59.5,48.0,0.0,701,30.02,E,1.9,5.0,64.7,63.1,-20.3,-17.8,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,10:45,82.2,60.8,48.4,0.0,700,30.03,NE,2.1,5.8,65.1,63.1,-20.3,-17.9,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,11:00,82.9,60.9,47.5,0.0,744,30.02,W,1.7,6.2,65.5,63.1,-20.3,-17.9,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,11:15,83.0,61.5,48.3,0.0,742,30.01,W,2.2,5.4,66.0,63.1,-20.4,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,11:30,83.1,62.2,49.4,0.0,657,30.0,W,2.5,6.6,66.5,63.1,-20.5,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,11:45,83.4,62.2,48.8,0.0,738,30.0,W,3.0,6.5,67.0,63.1,-20.6,-18.0,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,12:00,84.5,61.4,45.9,0.0,766,30.0,NW,2.0,4.8,67.6,63.1,-20.7,-18.1,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,12:15,85.0,61.2,44.7,0.0,736,30.0,W,1.9,5.4,68.0,63.1,-20.9,-18.1,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,12:30,85.3,61.7,45.2,0.0,673,29.99,W,2.5,5.6,68.5,63.1,-21.0,-18.1,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,12:45,85.3,61.6,45.0,0.0,741,29.98,SW,2.5,5.3,68.9,63.3,-21.2,-18.2,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,13:00,86.5,61.9,43.9,0.0,760,29.98,SW,2.1,4.9,69.2,63.3,-21.3,-18.2,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,13:15,85.8,62.2,45.2,0.0,751,29.97,SW,3.9,9.6,69.6,63.3,-21.5,-18.2,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,13:30,86.3,63.1,46.0,0.0,738,29.97,SW,3.7,7.4,70.0,63.3,-21.7,-18.3,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,13:45,86.8,65.5,49.1,0.0,708,29.97,W,3.6,6.8,70.3,63.3,-21.9,-18.3,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,14:00,86.3,66.4,51.5,0.0,669,29.96,SW,4.8,7.7,70.7,63.5,-22.0,-18.4,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
2020-07-30,14:15,86.5,66.9,52.2,0.0,635,29.96,SW,4.8,8.8,71.0,63.5,-22.2,-18.4,"Lynden.N, Lynden, Whatcom County",100027,Lynden.N,2020-12-14 06:19:41.824800
