Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2008-08-07,00:15,59.4,,57.3,92.8,0.72,E@1.3,3.9,,82.2,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,00:30,58.3,,57.0,95.3,0.73,E@2.1,4.2,,82.1,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,00:45,58.1,,57.1,96.7,0.84,E@1.3,4.2,,81.9,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,01:00,57.7,,57.4,98.7,0.88,N@0.0,0.0,,81.8,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,01:15,57.6,,57.6,100.0,0.92,N@0.0,0.0,,81.6,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,01:30,56.8,,56.8,100.0,0.94,W@0.1,1.7,,81.4,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,01:45,56.4,,56.4,100.0,0.94,N@0.0,0.0,,81.3,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,02:00,56.3,,56.3,100.0,0.92,N@0.0,0.0,,81.1,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,02:15,56.6,,56.6,100.0,0.92,N@0.0,0.0,,81.0,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,02:30,56.4,,56.4,100.0,0.95,N@0.0,0.0,,80.8,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,02:45,55.9,,55.9,100.0,1.0,E@0.1,3.1,,80.6,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,03:00,55.3,,55.3,100.0,1.0,N@0.0,0.0,,80.5,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,03:15,55.5,,55.5,100.0,1.0,N@0.0,0.0,,80.4,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,03:30,55.6,,55.6,100.0,1.0,SW@0.1,2.4,,80.2,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
2008-08-07,03:45,55.0,,55.0,100.0,1.0,N@0.0,0.0,,80.1,0.0,0,"Port Of Sunnyside, Yakima County",310120,Port Of Sunnyside,2017-12-07 22:51:42.102896
