Country,Product,Flow,NoCountry,NoProduct,NoFlow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 Provisional,Download Timestamp
Australia,"Coal, peat and oil shale",Other (ktoe),01. Australia,"01. Coal, peat and oil shale",12. Other (ktoe),298.906,328.438,281.267,615.711,586.826,539.709,496.924,450.094,435.313,411.502,391.639,373.27,361.317,340.59,322.296,290.895,266.66,243.201,224.708,204.026,179.993,159.586,150.551,140.116,133.382,108.291,96.455,79.208,68.392,67.778,92.966,96.285,116.034,87.231,96.472,68.717,61.019,53.317,44.353,19.467,14.527,8.92,4.776,6.645,7.415,..,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",of which: Residential (ktoe),01. Australia,"01. Coal, peat and oil shale",12.1. of which: Residential (ktoe),236.806,235.288,187.218,354.294,331.125,290.712,253.237,226.74,211.61,194.521,183.836,172.626,163.798,144.749,133.409,113.315,96.544,80.093,66.073,56.931,45.374,42.474,42.628,37.756,38.434,26.749,22.166,21.443,19.523,18.295,20.39,23.076,22.504,19.924,20.662,9.781,9.458,8.635,7.106,3.89,2.471,1.59,1.225,0,0.501,..,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",of which: Commerce and public services (ktoe),01. Australia,"01. Coal, peat and oil shale",12.2. of which: Commerce and public services (ktoe),62.1,93.15,94.049,261.417,255.703,248.998,243.687,223.355,223.704,216.981,207.803,200.645,197.52,195.841,188.887,177.581,170.116,163.108,158.634,147.094,134.621,117.112,107.923,102.361,94.948,81.542,74.29,57.764,48.868,49.482,72.577,73.21,93.53,67.307,75.811,58.935,51.562,44.684,37.247,15.577,12.056,7.33,3.551,6.645,6.914,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Production (ktoe),01. Australia,"02. Crude,NGL and feedstocks",01. Production (ktoe),14825.588,15850.966,19845.926,19634.845,21040.698,21594.715,22833.935,22679.824,22727.586,21303.539,20785.137,20477.312,19916.718,23958.961,27720.638,28824.576,28614.453,28544.866,25823.906,29025.797,29050.536,28687.086,28407.367,26739.028,28364.569,27875.771,28221.359,31140.025,25057.963,33910.434,35015.896,32968.766,32177.581,28534.494,25672.588,23213.904,25911.704,23854.416,24509.526,25536.612,24403.396,22868.586,19958.74,19080.73,18089.272,17859.303,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Imports (ktoe),01. Australia,"02. Crude,NGL and feedstocks",02. Imports (ktoe),10527.002,9069.09,8937.902,9206.52,8559.452,8672.973,9239.544,10561.115,10512.123,10409.371,10188.701,11099.798,10237.84,7510.388,6371.666,5064.094,6424.375,8203.886,10439.419,10209.793,10953.873,13498.382,17112.809,17444.816,17597.323,20321.448,20601.216,20836.449,24507.595,22314.052,23185.294,24055.192,23207.709,19306.589,21376.621,20026.371,20766.363,21480.075,19879.531,22095.535,25961.331,24092.993,24108.38,22611.392,19844.983,15929.534,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Exports (ktoe),01. Australia,"02. Crude,NGL and feedstocks",03. Exports (ktoe),-576.891,-340.562,-18.576,0,0,0,0,0,0,0,-74.095,0,-46.69,-875.458,-4735.771,-4245.521,-4804.446,-5419.858,-4108.755,-5855.842,-7652.306,-8506.941,-9411.381,-8834.614,-10372.115,-10065.777,-11925.615,-14210.587,-13612.478,-19364.704,-23533.945,-21396.83,-17596.942,-14704.086,-13189.89,-10930.932,-13402.867,-13427.973,-13913.629,-15149.823,-16467.803,-14621.157,-13230.513,-12447.941,-12724.945,-11713.852,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Total primary energy supply (ktoe),01. Australia,"02. Crude,NGL and feedstocks",04. Total primary energy supply (ktoe),25111.129,24579.494,28765.252,28841.365,29600.15,30267.688,32073.479,33163.539,33204.62,31655.679,30479.133,31655.287,30072.768,30352.917,28998.778,29743.542,30086.211,31383.998,32326.333,33074.036,32513.124,33703.749,36027.957,35420.174,35286.094,37935.356,37111.042,37265.898,36355.199,36577.178,33730.686,36007.841,37754.234,33921.086,33972.712,32185.29,32987.811,32085.074,30501.273,31909.613,34305.265,32601.967,31008.214,29323.781,25471.889,22304.483,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Electricity plants (ktoe),01. Australia,"02. Crude,NGL and feedstocks",05. Electricity plants (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.043,-1.043,-1.041,-1.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",CHP plants (ktoe),01. Australia,"02. Crude,NGL and feedstocks",06. CHP plants (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Heat plants (ktoe),01. Australia,"02. Crude,NGL and feedstocks",07. Heat plants (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
