Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2018-03-31,00:15,47.1,47.1,30.5,52.3,0.0,NW@10.1,14.2,50.5,51.0,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,00:30,47.8,47.8,30.6,51.0,0.0,NW@11.3,15.7,50.2,51.0,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,00:45,47.2,47.1,30.5,52.1,0.0,NW@10.4,13.5,50.0,51.0,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,01:00,47.2,47.1,30.4,51.9,0.0,NW@11.1,15.7,49.8,50.9,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,01:15,47.4,47.4,30.1,50.7,0.0,NW@11.4,17.5,49.6,50.9,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,01:30,47.8,47.9,29.5,48.8,0.0,NW@12.4,19.6,49.5,50.9,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,01:45,48.6,48.7,29.4,47.2,0.0,N@15.4,29.3,49.3,50.8,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,02:00,48.0,48.1,29.9,49.1,0.0,N@15.1,26.4,49.1,50.8,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,02:15,48.1,48.1,29.7,48.7,0.0,N@14.2,21.8,49.0,50.7,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,02:30,46.8,46.8,29.7,51.2,0.0,N@12.0,16.7,48.8,50.7,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
2018-03-31,02:45,46.6,46.6,29.5,51.1,0.0,N@12.9,18.2,48.7,50.6,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:54:56.764467
