Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2017-05-16,00:15,45.3,44.9,45.1,99.5,0.4,SE@6.2,8.9,57.1,0.01,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,00:30,45.3,44.9,45.2,99.5,0.38,SE@5.1,8.5,57.0,0.0,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,00:45,45.1,44.7,45.0,99.5,0.37,SE@4.8,7.8,56.9,0.0,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,01:00,45.0,44.5,44.9,99.5,0.37,SE@4.4,10.3,56.8,0.0,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,01:15,44.7,44.3,44.6,99.5,0.38,SE@4.9,7.4,56.7,0.01,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,01:30,45.0,44.7,44.9,99.5,0.37,SE@6.1,8.9,56.7,0.01,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,01:45,45.3,44.9,45.2,99.5,0.35,SE@6.5,9.2,56.6,0.0,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,02:00,45.3,44.9,45.2,99.5,0.34,SE@6.0,7.8,56.5,0.0,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,02:15,45.3,44.9,45.2,99.5,0.36,SE@6.6,9.2,56.4,0.0,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
2017-05-16,02:30,45.1,44.7,45.0,99.5,0.37,SE@5.7,8.5,56.3,0.0,0,"Chief Joe, Okanogan County",330100,Chief Joe,2017-12-14 19:24:21.925326
