Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2018-04-24,00:15,48.7,48.6,21.5,34.0,0.0,N@5.4,6.4,46.8,46.6,21.3,0.0,0,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,00:30,47.9,48.0,22.0,35.6,0.0,N@5.7,6.4,46.5,46.5,21.3,0.0,0,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,00:45,46.9,46.9,22.5,37.8,0.0,N@5.8,7.1,46.2,46.5,21.3,0.0,0,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,01:00,47.0,47.0,22.2,37.2,0.0,N@7.3,8.5,45.9,46.5,21.3,0.0,0,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,01:15,45.8,45.9,22.8,39.9,0.0,N@7.9,9.9,45.7,46.4,21.3,0.0,0,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,01:30,45.8,45.8,22.9,40.1,0.0,N@7.5,9.2,45.4,46.4,21.3,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,01:45,45.8,45.8,22.8,39.9,0.0,N@7.9,9.9,45.1,46.3,21.3,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,02:00,44.3,44.4,23.3,43.1,0.0,N@7.5,8.9,44.9,46.3,21.3,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,02:15,44.1,44.2,23.4,43.6,0.0,N@8.5,10.3,44.6,46.2,21.3,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,02:30,42.9,43.1,24.1,47.0,0.0,N@7.5,8.9,44.4,46.2,21.3,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,02:45,42.8,42.8,23.8,46.6,0.0,N@6.7,7.8,44.2,46.1,21.3,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,03:00,43.4,43.4,23.5,45.0,0.0,N@6.1,7.1,43.9,46.1,21.3,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,03:15,43.7,43.7,23.4,44.3,0.0,N@6.5,7.4,43.7,46.0,21.3,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,03:30,43.2,43.3,23.6,45.6,0.0,N@6.1,6.7,43.5,46.0,21.2,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,03:45,42.8,42.9,24.0,47.0,0.0,N@6.1,7.1,43.3,45.9,21.2,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,04:00,43.0,42.9,24.3,47.4,0.0,N@6.5,7.1,43.1,45.8,21.2,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,04:15,43.3,43.3,24.3,46.8,0.0,N@7.2,8.2,42.9,45.8,21.2,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,04:30,42.7,42.8,24.5,48.3,0.0,N@6.9,7.8,42.7,45.7,21.2,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,04:45,42.1,42.2,24.5,49.5,0.0,N@7.4,8.5,42.5,45.7,21.2,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,05:00,42.2,42.2,24.7,49.6,0.0,N@7.2,8.2,42.3,45.6,21.2,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,05:15,42.0,42.1,24.6,49.6,0.0,N@6.3,7.4,42.2,45.5,21.2,0.0,0,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,05:30,41.3,41.4,24.7,51.2,0.0,NW@5.8,6.7,42.0,45.5,21.2,0.0,1,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,05:45,42.0,42.0,24.6,49.8,0.0,N@5.4,6.4,41.8,45.4,21.2,0.0,2,30.34,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,06:00,41.8,41.8,24.6,50.0,0.0,SE@4.9,8.9,41.7,45.3,21.1,0.0,6,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,06:15,42.2,42.7,24.6,49.3,0.0,E@4.2,6.7,41.5,45.3,21.1,0.0,21,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,06:30,43.4,44.2,24.0,46.0,0.0,NE@2.0,2.8,41.4,45.2,21.1,0.0,45,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
2018-04-24,06:45,43.7,44.4,24.3,46.0,0.0,N@3.4,5.3,41.2,45.1,21.1,0.0,72,30.35,"Waterville North, Waterville, Douglas County",330046,Waterville North,2018-09-11 09:06:39.328944
