Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph,Location,Station ID,Station Name,Download Timestamp
2018-03-07,23:15,41.7,41.6,99.3,0.0,0,,SW,3.1,6.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-07,23:30,41.7,41.6,99.2,0.0,0,,SE,3.9,6.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-07,23:45,41.3,41.1,99.3,0.0,0,,SE,4.8,6.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-07,24:00,40.9,40.8,99.4,0.02,0,,SE,5.6,7.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,00:15,40.8,40.6,99.4,0.02,0,,E,4.3,6.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,00:30,40.8,40.6,99.4,0.02,0,,E,4.1,6.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,00:45,40.7,40.6,99.4,0.02,0,,E,4.5,6.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,01:00,40.8,40.6,99.5,0.01,0,,E,4.8,6.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,01:15,40.8,40.6,99.5,0.02,0,,E,5.3,6.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,01:30,41.0,40.8,99.5,0.02,0,,E,4.3,6.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,01:45,41.1,40.9,99.5,0.01,0,,E,4.4,6.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,02:00,41.2,41.1,99.5,0.0,0,,SW,2.4,3.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,02:15,41.4,41.3,99.5,0.0,0,,E,2.7,9.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,02:30,42.4,42.2,99.4,0.0,0,,E,4.9,11.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,02:45,43.2,43.0,99.3,0.01,0,,E,11.5,18.5,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,03:00,42.7,42.5,99.3,0.0,0,,E,10.6,15.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
2018-03-08,03:15,42.7,42.5,99.3,0.0,0,,E,9.8,15.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:41:54.484724
