Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph,Location,Station ID,Station Name,Download Timestamp
2016-11-03,00:15,53.6,51.1,91.3,0.0,0,,SE,10.1,15.7,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,00:30,53.6,50.6,89.6,0.0,0,,SE,9.6,15.7,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,00:45,53.6,49.7,86.7,0.0,0,,SE,11.9,18.5,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,01:00,52.6,49.7,89.7,0.0,0,,SE,9.9,13.9,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,01:15,53.6,49.8,87.0,0.0,0,,SE,12.1,18.2,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,01:30,54.1,49.8,85.3,0.0,0,,SE,10.9,16.7,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,01:45,53.1,49.8,88.5,0.0,0,,SE,10.0,14.2,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,02:00,52.8,49.9,89.6,0.0,0,,SE,9.2,13.9,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,02:15,53.0,49.7,88.5,0.0,0,,SE,9.1,12.8,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,02:30,53.1,49.5,87.4,0.0,0,,SE,9.9,14.2,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,02:45,53.6,49.2,85.0,0.0,0,,SE,8.9,12.1,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,03:00,53.3,49.0,85.2,0.0,0,,SE,8.0,12.1,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,03:15,54.0,48.9,82.9,0.0,0,,SE,9.1,15.7,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,03:30,54.3,49.1,82.4,0.0,0,,SE,10.3,16.0,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,03:45,54.2,49.3,83.5,0.0,0,,SE,11.0,15.7,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,04:00,53.9,49.5,85.0,0.0,0,,SE,11.6,16.0,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,04:15,53.8,49.8,86.2,0.01,0,,SE,12.9,17.5,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,04:30,53.7,50.0,87.2,0.0,0,,SE,13.3,20.3,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,04:45,53.9,50.2,87.2,0.0,0,,SE,14.3,20.7,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,05:00,54.3,50.2,86.2,0.0,0,,SE,15.4,21.8,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
2016-11-03,05:15,54.3,50.2,86.1,0.0,0,,SE,15.0,21.8,"Sakuma, Skagit County",330159,Sakuma,2020-12-23 00:10:46.868983
