Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2013-09-30,00:15,52.7,52.9,45.7,76.9,0.0,W@7.3,13.5,59.5,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,00:30,52.9,53.2,44.6,73.2,0.0,W@9.1,19.6,59.4,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,00:45,52.5,52.7,44.2,73.2,0.0,W@6.9,13.5,59.4,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,01:00,52.8,53.1,43.6,70.6,0.0,W@7.7,13.2,59.4,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,01:15,52.4,52.6,43.3,71.0,0.0,W@5.5,11.0,59.3,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,01:30,52.7,52.8,41.9,66.7,0.0,W@5.1,9.9,59.3,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,01:45,52.3,52.4,41.8,67.3,0.0,W@5.5,11.7,59.3,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,02:00,52.2,52.5,41.0,65.5,0.0,W@7.2,12.8,59.2,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,02:15,53.2,53.4,40.0,60.7,0.0,W@8.0,14.6,59.2,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,02:30,52.8,52.9,39.4,60.2,0.0,W@6.7,12.1,59.1,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,02:45,52.1,52.3,39.8,62.6,0.0,NW@6.5,12.4,59.1,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,03:00,52.2,52.4,39.6,62.0,0.0,NW@6.2,10.7,59.0,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,03:15,51.9,52.1,39.6,62.7,0.0,W@5.4,8.2,59.0,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,03:30,52.0,52.2,39.2,61.4,0.0,W@5.9,11.4,58.9,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,03:45,52.3,52.5,38.4,59.0,0.0,W@5.5,10.7,58.9,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,04:00,52.7,53.0,38.5,58.2,0.0,SW@6.4,11.7,58.8,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,04:15,51.7,51.8,40.3,65.0,0.0,S@4.5,8.2,58.7,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,04:30,51.5,51.6,40.2,65.3,0.0,NE@4.3,8.9,58.7,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,04:45,51.0,51.3,40.5,67.1,0.0,NW@4.9,10.3,58.6,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,05:00,52.3,52.5,39.9,62.7,0.0,W@5.1,9.2,58.5,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,05:15,51.9,52.0,40.2,64.1,0.0,W@4.4,7.4,58.5,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,05:30,51.8,52.0,40.8,65.9,0.0,W@4.4,9.6,58.4,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,05:45,52.0,52.3,40.2,63.9,0.0,W@5.1,11.0,58.3,0.0,0,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,06:00,52.8,53.0,40.1,61.8,0.01,W@4.2,8.5,58.3,0.0,1,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,06:15,52.2,52.3,41.3,66.3,0.08,NW@4.4,8.5,58.2,0.0,14,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,06:30,52.9,53.1,41.3,64.6,0.0,S@4.6,9.2,58.1,0.0,23,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,06:45,53.1,53.5,41.6,64.6,0.0,SW@5.1,16.0,58.0,0.0,47,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,07:00,54.7,54.9,40.8,59.4,0.12,SW@10.5,17.1,58.0,0.0,17,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,07:15,54.7,54.8,41.2,60.3,0.03,SW@9.3,17.8,57.9,0.0,28,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,07:30,54.6,54.8,41.3,60.6,0.0,SW@10.7,17.5,57.8,0.0,58,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,07:45,54.6,54.8,41.6,61.3,0.0,SW@9.5,15.0,57.8,0.0,91,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
2013-09-30,08:00,54.6,54.8,42.2,62.6,0.0,W@7.8,14.6,57.7,0.0,123,"Maryhill, Klickitat County",310025,Maryhill,2017-12-10 08:19:34.506453
