Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph,Location,Station ID,Station Name,Download Timestamp
2020-08-09,00:15,61.3,49.7,65.5,0.0,0,30.09,NW,1.3,3.2,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,00:30,61.1,49.4,65.4,0.0,0,30.09,NW,1.2,3.0,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,00:45,61.0,49.4,65.5,0.0,0,30.09,NW,1.1,2.6,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,01:00,60.7,49.6,66.6,0.0,0,30.09,NW,1.3,3.9,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,01:15,61.7,49.6,64.3,0.0,0,30.09,NW,1.5,5.7,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,01:30,62.2,49.6,63.1,0.0,0,30.09,NW,1.6,5.8,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,01:45,61.6,49.6,64.8,0.0,0,30.1,NW,1.3,3.8,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,02:00,62.1,49.5,63.3,0.0,0,30.1,NW,1.8,7.5,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,02:15,61.5,49.3,64.0,0.0,0,30.11,NW,1.3,4.9,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,02:30,59.6,49.6,69.3,0.0,0,30.11,NW,1.0,2.8,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,02:45,57.2,50.0,76.7,0.0,0,30.11,W,1.1,1.6,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,03:00,55.4,49.9,81.8,0.0,0,30.12,W,1.1,1.8,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,03:15,54.1,49.8,85.4,0.0,0,30.12,NW,1.2,2.1,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,03:30,54.5,49.6,83.3,0.0,0,30.13,W,1.2,2.1,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,03:45,53.6,50.0,87.5,0.0,0,30.13,W,1.2,2.0,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,04:00,53.0,50.1,89.7,0.0,0,30.13,W,1.2,1.9,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,04:15,53.6,50.3,88.5,0.0,0,30.14,W,0.9,2.1,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,04:30,54.0,50.4,87.6,0.0,0,30.14,W,1.1,1.9,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,04:45,53.1,50.3,90.2,0.0,0,30.15,NW,0.9,1.5,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,05:00,51.9,50.0,93.3,0.0,2,30.15,NW,0.8,1.8,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,05:15,53.1,49.7,88.1,0.0,17,30.15,NW,1.0,2.6,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,05:30,54.8,50.2,84.3,0.0,46,30.16,NW,0.9,1.9,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,05:45,56.1,51.7,85.0,0.0,74,30.16,NW,0.8,3.1,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,06:00,57.8,51.8,80.4,0.0,107,30.17,NW,0.8,1.6,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,06:15,59.6,53.3,79.6,0.0,136,30.18,N ,0.6,1.5,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,06:30,60.9,53.2,75.9,0.0,173,30.18,E,0.9,3.1,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,06:45,62.6,53.0,70.8,0.0,214,30.18,E,0.7,2.9,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
2020-08-09,07:00,63.8,53.0,67.8,0.0,256,30.18,NE,1.1,3.1,"Cemetery*, The Dalles, Wasco County",100008,Cemetery*,2020-12-19 14:25:32.239399
