station_id,station_name,Download Timestamp
330158,Loomis.Val,2020-06-01 18:06:10.017961
100019,Loomis.Grd,2020-06-01 18:06:10.017961
344108,Long.Beach,2020-06-01 18:06:10.017961
300028,Lind,2020-06-01 18:06:10.017961
100028,Lewiston.E*,2020-06-01 18:06:10.017961
330024,Lawrence,2020-06-01 18:06:10.017961
300214,Langley,2020-06-01 18:06:10.017961
300201,LaCrosse,2020-06-01 18:06:10.017961
310027,Konnowac,2020-06-01 18:06:10.017961
100060,Kahlotus.W,2020-06-01 18:06:10.017961
100071,K2H,2020-06-01 18:06:10.017961
300079,Juniper,2020-06-01 18:06:10.017961
310029,Husum,2020-06-01 18:06:10.017961
300034,Huntsville,2020-06-01 18:06:10.017961
100064,Horse.Hvn,2020-06-01 18:06:10.017961
100129,Horrigan,2020-06-01 18:06:10.017961
100015,Havillah,2020-06-01 18:06:10.017961
300132,Hatton,2020-06-01 18:06:10.017961
300205,Hartline,2020-06-01 18:06:10.017961
300202,Harrington,2020-06-01 18:06:10.017961
300048,Green.Blff,2020-06-01 18:06:10.017961
300213,Grayland,2020-06-01 18:06:10.017961
300209,Granger,2020-06-01 18:06:10.017961
300093,Grandview,2020-06-01 18:06:10.017961
100139,Gramling,2020-06-01 18:06:10.017961
310111,Gleed,2020-06-01 18:06:10.017961
330033,George,2020-06-01 18:06:10.017961
300206,Garfield.E,2020-06-01 18:06:10.017961
330023,Frenchman,2020-06-01 18:06:10.017961
100067,Fourmile,2020-06-01 18:06:10.017961
100069,FishHook,2020-06-01 18:06:10.017961
330021,Fir.Island,2020-06-01 18:06:10.017961
100113,Finley,2020-06-01 18:06:10.017961
100023,Ferndale,2020-06-01 18:06:10.017961
330125,Fairfield,2020-06-01 18:06:10.017961
330040,Ephrata,2020-06-01 18:06:10.017961
100016,Ellisforde,2020-06-01 18:06:10.017961
100134,Eby,2020-06-01 18:06:10.017961
100056,Dusty.W,2020-06-01 18:06:10.017961
100002,Dog.River*,2020-06-01 18:06:10.017961
100075,Dietz,2020-06-01 18:06:10.017961
330030,DesertAire,2020-06-01 18:06:10.017961
300216,Dayton.NW,2020-06-01 18:06:10.017961
300208,Dayton.NE,2020-06-01 18:06:10.017961
330029,Davenport,2020-06-01 18:06:10.017961
100000,Dallesport,2020-06-01 18:06:10.017961
309001,Curlew,2020-06-01 18:06:10.017961
100061,Creston.N,2020-06-01 18:06:10.017961
100017,Crane,2020-06-01 18:06:10.017961
300401,Craigmont,2020-06-01 18:06:10.017961
310137,Cowiche,2020-06-01 18:06:10.017961
330164,Coupeville,2020-06-01 18:06:10.017961
100052,Corvallis*,2020-06-01 18:06:10.017961
300046,Connell.N,2020-06-01 18:06:10.017961
100054,Colton.S,2020-06-01 18:06:10.017961
300133,College.Pl,2020-06-01 18:06:10.017961
100037,Coffin,2020-06-01 18:06:10.017961
300068,Chucker,2020-06-01 18:06:10.017961
300220,Chimacum,2020-06-01 18:06:10.017961
330100,Chief.Joe,2020-06-01 18:06:10.017961
330035,Chelan.S,2020-06-01 18:06:10.017961
360001,Chehalis,2020-06-01 18:06:10.017961
100008,Cemetery*,2020-06-01 18:06:10.017961
330168,Cashmere.N,2020-06-01 18:06:10.017961
100055,Carlton.S,2020-06-01 18:06:10.017961
100059,Carlson,2020-06-01 18:06:10.017961
110023,Canoe.Rdg,2020-06-01 18:06:10.017961
310138,Buena,2020-06-01 18:06:10.017961
330043,Broadview,2020-06-01 18:06:10.017961
100014,Brewster.S,2020-06-01 18:06:10.017961
330171,Brewster.N,2020-06-01 18:06:10.017961
330174,Brays.Land,2020-06-01 18:06:10.017961
330037,Boyd.Dist,2020-06-01 18:06:10.017961
100172,Big.Flat,2020-06-01 18:06:10.017961
100161,Benton.W,2020-06-01 18:06:10.017961
100114,Benton.E,2020-06-01 18:06:10.017961
100005,BearWallow*,2020-06-01 18:06:10.017961
300116,Basin.City,2020-06-01 18:06:10.017961
300027,Badger.Cyn,2020-06-01 18:06:10.017961
300218,Azwell,2020-06-01 18:06:10.017961
100010,Avalon*,2020-06-01 18:06:10.017961
331106,Arrowhead,2020-06-01 18:06:10.017961
330169,Arlington,2020-06-01 18:06:10.017961
300032,Anatone,2020-06-01 18:06:10.017961
330150,Almira,2020-06-01 18:06:10.017961
310107,Alderdale,2020-06-01 18:06:10.017961
300031,Alder.Rdg,2020-06-01 18:06:10.017961
310112,Ahtanum,2020-06-01 18:06:10.017961
300219,Addy,2020-06-01 18:06:10.017961
100012,10SB04*,2020-06-01 18:06:10.017961
100140,100Circles,2020-06-01 18:06:10.017961
100011,08CF15*,2020-06-01 18:06:10.017961
810205,Woodburn,2019-06-24 17:35:29.315199
810305,St.Paul,2019-06-24 17:35:29.315199
810405,Silverton,2019-06-24 17:35:29.315199
810105,Corvallis,2019-06-24 17:35:29.315199
330044,Wahluke,2019-06-24 17:35:29.315199
131034,St.Andrews,2019-06-24 17:35:29.315199
300152,Pullman NE,2019-06-24 17:35:29.315199
300033,Prosser,2019-06-24 17:35:29.315199
330144,Loomis.Grd,2019-06-24 17:35:29.315199
330145,Ellisforde,2019-06-24 17:35:29.315199
330105,Crane,2019-06-24 17:35:29.315199
330074,Brewster.N,2019-06-24 17:35:29.315199
330163,Stanwood,2019-05-02 08:32:20.436465
300221,Pullman.C,2019-05-02 08:32:20.436465
300217,Odell (WAI-Moe),2018-04-07 11:42:07.017226
300300,Pendleton,2017-11-19 01:01:16.793200
300301,Moro,2017-11-19 01:01:16.793200
