station_id,station_name,YEAR,MAX_TEMP_F
330101,Mt.Vernon,2014,83.50800000000001
330101,Mt.Vernon,2015,86.28
330101,Mt.Vernon,2016,85.47500000000001
330101,Mt.Vernon,2017,84.888
330101,Mt.Vernon,2018,85.552
330101,Mt.Vernon,2019,82.66899999999997
330063,Lynden,2007,84.7300000000001
330063,Lynden,2008,85.41500000000002
330063,Lynden,2009,87.61600000000004
330063,Lynden,2010,88.00400000000005
330063,Lynden,2011,82.836
330063,Lynden,2012,88.305
330063,Lynden,2013,84.444
330063,Lynden,2014,86.53600000000003
330063,Lynden,2015,89.49600000000001
330063,Lynden,2016,88.035
330063,Lynden,2017,87.98
330063,Lynden,2018,89.07600000000002
330063,Lynden,2019,83.13399999999999
330024,Lawrence,2008,87.712
330024,Lawrence,2009,89.488
330024,Lawrence,2010,90.636
330024,Lawrence,2011,84.516
330024,Lawrence,2012,88.75500000000002
330024,Lawrence,2013,84.32400000000001
330024,Lawrence,2014,86.208
330024,Lawrence,2015,90.172
330024,Lawrence,2016,89.42000000000003
330024,Lawrence,2017,89.936
330024,Lawrence,2018,89.772
330024,Lawrence,2019,83.68999999999998
300214,Langley,2014,53.458
300214,Langley,2015,88.736
300214,Langley,2016,88.97000000000001
300214,Langley,2017,87.0
300214,Langley,2018,88.08000000000001
300214,Langley,2019,83.189
330021,Fir.Island,2008,83.89199999999997
330021,Fir.Island,2009,85.3
330021,Fir.Island,2010,85.61600000000004
330021,Fir.Island,2011,79.272
330021,Fir.Island,2012,83.31500000000003
330021,Fir.Island,2013,81.7
330021,Fir.Island,2014,84.33200000000002
330021,Fir.Island,2015,86.852
330021,Fir.Island,2016,86.67
330021,Fir.Island,2017,86.04400000000001
330021,Fir.Island,2018,87.8
330021,Fir.Island,2019,84.164
330164,Coupeville,2008,81.7
330164,Coupeville,2009,83.26000000000002
330164,Coupeville,2010,82.44400000000005
330164,Coupeville,2011,78.13200000000002
330164,Coupeville,2012,79.87500000000006
330164,Coupeville,2013,78.1
330164,Coupeville,2014,80.816
330164,Coupeville,2015,84.71600000000001
330164,Coupeville,2016,84.33500000000001
330164,Coupeville,2017,83.21600000000001
330164,Coupeville,2018,79.936
330164,Coupeville,2019,78.876
300220,Chimacum,2015,89.23599999999999
300220,Chimacum,2016,88.33500000000001
300220,Chimacum,2017,86.15200000000002
300220,Chimacum,2018,86.56000000000002
300220,Chimacum,2019,81.023
330169,Arlington,2017,62.384999999999984
330169,Arlington,2018,86.316
330169,Arlington,2019,81.49000000000001
