Date,Time PDT,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-02-07,23:15,45.4,57.1,42.7,90.4,0.01,W@8.2,15.3,0.68,0,47.3,48.1,23.2,29.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-07,23:30,45.4,57.2,42.8,90.4,0.01,W@8.9,21.4,0.7,0,47.3,48.1,23.2,29.91,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-07,23:45,45.4,57.3,42.7,90.1,0.0,W@7.8,16.0,0.72,0,47.2,48.0,23.2,29.91,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-07,24:00,45.7,57.4,42.9,89.8,0.01,W@7.8,15.7,0.71,0,47.2,48.0,23.3,29.91,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-08,00:15,45.8,57.5,42.8,89.3,0.0,W@7.5,18.8,0.73,0,47.1,48.0,23.3,29.92,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-08,00:30,45.7,57.4,42.5,88.5,0.0,W@8.2,23.5,0.74,0,47.1,47.9,23.4,29.92,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-08,00:45,45.4,57.0,42.1,88.1,0.0,W@9.2,18.2,0.76,0,47.0,47.9,23.4,29.92,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-08,01:00,45.5,57.2,42.5,89.0,0.0,W@7.9,16.0,0.77,0,47.0,47.9,23.4,29.93,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-08,01:15,45.6,57.2,41.7,86.1,0.01,W@9.7,19.2,0.78,0,47.0,47.9,23.4,29.93,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
2020-02-08,01:30,45.7,57.1,41.3,84.5,0.0,W@9.7,16.0,0.77,0,46.9,47.8,23.4,29.94,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:56:11.404623
