Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, Bed Temp °F, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2017-09-09,00:15,49.8,49.8,49.2,97.5,0.72,N@0.0,0.0,44.8,62.8,66.4,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,00:30,49.4,49.4,48.8,97.6,0.72,N@0.0,0.0,44.4,62.6,66.3,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,00:45,49.2,49.2,48.6,97.6,0.72,N@0.0,0.0,44.4,62.4,66.2,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,01:00,49.6,49.6,49.0,97.7,0.72,N@0.0,0.0,43.3,62.2,66.1,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,01:15,48.9,48.9,48.3,97.6,0.72,N@0.0,0.0,44.0,62.0,66.1,9.6,0.0,0,30.06,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,01:30,49.5,49.5,48.9,97.8,0.73,N@0.0,0.0,43.7,61.8,66.0,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,01:45,49.5,49.5,48.9,97.8,0.73,N@0.0,0.0,44.0,61.6,65.9,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,02:00,49.0,49.0,48.4,97.7,0.73,N@0.0,0.0,45.1,61.5,65.8,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,02:15,49.2,49.2,48.7,97.9,0.73,N@0.0,0.0,45.3,61.3,65.7,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,02:30,49.7,49.7,49.1,97.9,0.74,N@0.0,0.0,45.7,61.2,65.7,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,02:45,50.6,50.6,50.1,98.0,0.74,N@0.0,0.0,46.8,61.1,65.6,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,03:00,50.6,50.6,50.0,97.9,0.74,N@0.0,0.0,47.1,61.0,65.5,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,03:15,51.0,51.0,50.4,97.9,0.75,N@0.0,0.0,47.5,60.9,65.4,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,03:30,51.1,51.1,50.6,97.9,0.75,N@0.0,0.0,49.4,60.8,65.3,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,03:45,51.3,51.3,50.8,98.0,0.75,N@0.0,0.0,49.7,60.7,65.2,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
2017-09-09,04:00,52.7,52.7,52.2,98.2,0.76,N@0.0,0.0,49.9,60.7,65.2,9.6,0.0,0,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:41:44.450836
