Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Bed Temp °F,Location,Station ID,Station Name,Download Timestamp
2020-08-30,00:15,46.8,45.5,95.1,0.0,0,30.18,SE,0.4,1.7,0.76,63.6,66.8,13.9,68.8,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,00:30,46.3,45.1,95.2,0.0,0,30.18,S,0.8,2.1,0.76,63.4,66.7,13.9,68.1,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,00:45,46.1,44.9,95.4,0.0,0,30.18,SE,1.1,2.1,0.77,63.2,66.6,13.9,67.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,01:00,45.4,44.2,95.5,0.0,0,30.18,S,1.4,2.4,0.77,63.0,66.5,13.9,67.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,01:15,45.5,44.4,95.7,0.0,0,30.18,SW,0.7,2.4,0.77,62.8,66.4,13.9,67.1,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,01:30,44.4,43.3,95.7,0.0,0,30.19,E,0.6,1.7,0.77,62.6,66.3,13.9,66.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,01:45,45.7,44.5,95.8,0.0,0,30.19,S,0.9,2.1,0.78,62.5,66.2,13.9,66.0,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,02:00,44.3,43.2,95.8,0.0,0,30.19,SW,0.4,1.7,0.77,62.3,66.1,13.9,66.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,02:15,44.4,43.3,95.9,0.0,0,30.19,E,0.2,1.7,0.78,62.1,66.0,13.8,65.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,02:30,44.6,43.6,96.0,0.0,0,30.19,SW,0.7,2.4,0.79,61.9,65.9,13.8,66.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
2020-08-30,02:45,44.7,43.7,96.1,0.0,0,30.19,SE,1.2,3.9,0.78,61.8,65.8,13.8,66.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:28:21.739307
