Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Bed Temp °F,Location,Station ID,Station Name,Download Timestamp
2020-11-13,00:15,49.6,48.2,94.9,0.08,0,29.46,SE,11.6,21.0,0.85,47.9,47.3,32.3,68.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,00:30,49.7,48.4,95.0,0.07,0,29.44,SE,12.6,28.2,0.85,48.0,47.3,33.5,68.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,00:45,49.6,48.2,94.9,0.06,0,29.42,SE,12.0,28.9,0.86,48.0,47.3,34.6,68.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,01:00,49.7,48.3,94.8,0.07,0,29.4,SE,11.2,24.3,0.86,48.1,47.4,35.3,68.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,01:15,49.8,48.4,94.9,0.07,0,29.39,SE,12.4,29.3,0.86,48.1,47.4,35.6,68.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,01:30,49.9,48.5,94.9,0.08,0,29.38,SE,10.5,21.8,0.86,48.1,47.5,36.0,68.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,01:45,50.2,48.8,95.0,0.04,0,29.36,SE,11.8,29.3,0.86,48.2,47.5,36.2,68.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,02:00,50.3,49.0,95.1,0.03,0,29.35,SE,10.3,21.4,0.86,48.2,47.6,36.2,68.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,02:15,50.8,49.6,95.4,0.06,0,29.34,SE,9.1,21.8,0.86,48.2,47.6,36.1,68.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,02:30,51.6,50.4,95.5,0.05,0,29.33,SE,7.6,18.9,0.86,48.3,47.6,36.0,69.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,02:45,51.7,50.5,95.6,0.05,0,29.33,SE,8.0,21.0,0.87,48.3,47.7,36.0,69.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,03:00,51.8,50.6,95.6,0.02,0,29.32,SE,7.7,15.3,0.87,48.4,47.7,35.9,69.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,03:15,51.8,50.6,95.6,0.0,0,29.3,SE,6.5,13.9,0.87,48.5,47.7,35.6,69.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,03:30,51.8,50.6,95.6,0.0,0,29.3,SE,6.1,12.8,0.87,48.5,47.8,35.2,69.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,03:45,51.9,50.7,95.7,0.01,0,29.28,SE,6.0,11.7,0.87,48.5,47.8,34.7,69.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,04:00,52.0,50.8,95.7,0.04,0,29.27,SE,5.0,11.0,0.87,48.6,47.8,34.2,69.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,04:15,52.1,51.0,95.7,0.08,0,29.26,SE,4.9,12.8,0.87,48.6,47.8,33.9,69.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,04:30,52.3,51.2,95.8,0.02,0,29.24,SE,4.5,9.2,0.87,48.7,47.9,34.0,69.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
2020-11-13,04:45,52.3,51.2,95.9,0.0,0,29.25,SE,4.6,11.0,0.87,48.8,47.9,33.9,69.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:30:01.059618
