Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, Bed Temp °F, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2015-10-26,00:15,56.3,56.0,53.7,90.8,0.63,S@4.2,9.2,54.1,55.0,55.7,19.4,0.01,0,29.81,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,00:30,55.8,55.2,53.5,91.9,0.63,W@4.9,13.2,53.8,54.9,55.7,19.5,0.07,0,29.82,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,00:45,54.8,54.3,53.6,95.5,0.62,SE@4.4,11.0,53.6,54.9,55.7,19.6,0.02,0,29.82,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,01:00,55.1,54.6,53.9,95.8,0.64,E@3.8,9.6,53.8,54.9,55.7,19.7,0.03,0,29.82,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,01:15,55.4,55.0,54.4,96.3,0.64,W@4.2,10.7,54.3,54.8,55.7,20.0,0.03,0,29.83,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,01:30,54.8,54.5,53.5,95.3,0.64,E@4.2,10.3,53.4,54.8,55.6,20.2,0.02,0,29.83,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,01:45,55.0,54.4,53.9,96.0,0.64,W@5.0,10.3,53.7,54.8,55.6,20.6,0.05,0,29.84,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,02:00,55.0,54.5,54.1,96.8,0.65,S@4.8,11.0,53.9,54.8,55.6,21.0,0.02,0,29.84,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,02:15,54.9,54.4,54.2,97.2,0.65,NW@4.6,12.1,54.0,54.7,55.6,21.6,0.03,0,29.84,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
2015-10-26,02:30,55.2,54.7,54.5,97.6,0.66,W@4.5,12.8,54.2,54.7,55.6,22.1,0.02,0,29.85,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-10 22:12:00.656027
