Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-12-22,00:15,36.2,34.8,94.4,0.0,N @0.0,0.0,0.49,0,34.7,29.84,36.0,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,00:30,35.9,34.8,95.7,0.0,N @0.0,1.4,0.55,0,34.7,29.84,35.7,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,00:45,36.1,35.0,95.5,0.0,N@0.3,3.1,0.59,0,34.7,29.85,35.9,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,01:00,35.9,34.7,95.2,0.0,N@0.0,1.7,0.59,0,34.7,29.85,35.7,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,01:15,35.4,34.5,96.2,0.0,N @0.0,0.0,0.62,0,34.7,29.87,35.2,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,01:30,34.9,34.1,96.9,0.0,N @0.0,0.0,0.67,0,34.7,29.87,34.6,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,01:45,35.0,34.4,97.5,0.0,N @0.0,0.0,0.71,0,34.7,29.87,34.8,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,02:00,34.4,33.8,97.7,0.0,N @0.0,0.0,0.75,0,34.7,29.87,34.2,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,02:15,34.2,33.8,98.4,0.0,N @0.0,0.0,0.78,0,34.7,29.87,34.0,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
2019-12-22,02:30,34.0,33.7,98.7,0.0,N @0.0,0.0,0.81,0,34.7,29.88,33.7,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-01-21 16:01:21.616269
