Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2013-08-29,00:15,64.2,63.9,51.3,62.7,0.0,NW@0.9,4.6,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,00:30,64.7,64.6,49.4,57.7,0.0,E@0.3,4.6,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,00:45,67.0,66.9,48.4,51.2,0.0,NE@3.5,5.7,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,01:00,67.3,67.2,48.3,50.5,0.0,NE@3.2,5.3,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,01:15,67.5,67.1,48.5,50.5,0.0,N@4.1,5.3,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,01:30,65.9,65.6,49.0,54.4,0.0,N@4.6,6.0,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,01:45,66.5,66.3,48.8,52.7,0.0,N@4.1,7.1,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,02:00,67.0,66.8,48.4,51.1,0.0,NE@4.4,7.8,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,02:15,64.6,63.8,49.5,58.0,0.0,NE@1.1,4.2,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,02:30,63.1,63.0,49.5,61.2,0.0,N@0.0,0.0,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,02:45,63.2,62.5,49.4,60.5,0.0,NE@1.0,4.2,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,03:00,61.2,60.7,49.5,65.3,0.0,N@0.0,0.0,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,03:15,59.6,59.1,49.3,68.7,0.0,NE@0.8,3.5,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
2013-08-29,03:30,58.7,58.6,49.5,71.4,0.0,N@0.0,0.0,81.5,0.0,0,"PK_McClenny, Franklin County",100172,PK_McClenny,2017-12-09 04:45:04.698777
