Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2016-03-10,00:15,40.3,40.3,100.0,0.0,0,29.6,NW,0.3,2.1,0.58,42.4,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,00:30,40.2,40.2,100.0,0.0,0,29.6,NW,1.1,2.4,0.58,42.3,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,00:45,40.1,40.1,100.0,0.0,0,29.6,W,1.6,2.4,0.58,42.3,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,01:00,40.2,40.2,100.0,0.0,0,29.6,W,2.1,3.5,0.57,42.3,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,01:15,40.0,40.0,100.0,0.0,0,29.6,W,2.0,2.8,0.56,42.3,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,01:30,40.0,40.0,100.0,0.0,0,29.6,W,1.3,2.8,0.58,42.3,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,01:45,40.2,40.2,100.0,0.0,0,29.6,W,1.4,2.8,0.6,42.3,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,02:00,40.0,40.0,100.0,0.0,0,29.6,W,1.8,2.8,0.6,42.3,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,02:15,39.8,39.8,100.0,0.0,0,29.6,W,1.5,2.8,0.6,42.2,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,02:30,39.6,39.6,100.0,0.0,0,29.59,W,0.1,1.7,0.6,42.2,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,02:45,38.7,38.7,100.0,0.0,0,29.59,SE,2.6,3.1,0.59,42.1,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,03:00,37.2,37.2,100.0,0.0,0,29.61,W,2.6,4.9,0.58,42.0,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,03:15,38.5,38.5,100.0,0.01,0,29.65,W,5.0,7.4,0.6,41.8,44.2,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,03:30,39.9,39.9,100.0,0.0,0,29.66,W,2.8,6.0,0.57,41.7,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,03:45,40.1,40.1,100.0,0.0,0,29.67,W,1.8,3.5,0.58,41.7,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,04:00,40.7,40.6,99.7,0.01,0,29.69,S,7.4,18.9,0.58,41.6,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,04:15,47.1,41.2,79.7,0.0,0,29.69,SW,13.0,20.7,0.06,41.7,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,04:30,47.6,39.3,72.8,0.0,0,29.67,SW,8.9,15.0,0.0,41.7,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,04:45,48.0,38.9,70.6,0.0,0,29.67,SW,9.1,13.5,0.0,41.8,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,05:00,48.0,38.5,69.5,0.0,0,29.68,SW,7.4,13.2,0.0,41.9,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,05:15,47.8,38.7,70.6,0.0,0,29.69,SW,8.2,11.4,0.0,41.9,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,05:30,47.2,39.3,74.1,0.0,0,29.7,SW,8.3,13.2,0.0,41.9,44.1,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,05:45,46.4,39.5,76.6,0.0,0,29.7,SW,9.7,14.2,0.0,41.9,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,06:00,47.6,39.1,72.2,0.0,0,29.71,SW,12.5,20.3,0.0,41.9,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,06:15,48.2,38.5,69.0,0.0,1,29.71,SW,10.6,15.3,0.0,41.8,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,06:30,47.6,38.1,69.5,0.0,4,29.72,SW,10.4,16.7,0.0,41.8,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,06:45,46.5,38.0,72.0,0.0,12,29.72,SW,8.7,12.8,0.0,41.8,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,07:00,47.0,37.8,70.1,0.0,17,29.73,SW,9.6,14.6,0.0,41.8,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,07:15,46.9,37.7,70.1,0.0,30,29.75,SW,10.4,13.9,0.0,41.7,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,07:30,48.2,38.5,68.9,0.0,130,29.75,SW,11.1,14.6,0.0,41.7,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,07:45,49.5,39.5,68.1,0.0,165,29.76,SW,13.5,18.2,0.0,41.8,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,08:00,50.8,38.7,63.0,0.0,156,29.77,W,15.7,22.1,0.0,41.9,44.0,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,08:15,50.6,38.5,63.0,0.0,132,29.77,W,13.8,21.4,0.0,42.2,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,08:30,50.1,38.1,63.2,0.0,92,29.78,W,13.4,19.6,0.0,42.4,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,08:45,50.2,37.6,61.8,0.0,137,29.78,W,15.7,22.8,0.0,42.7,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,09:00,50.3,38.0,62.4,0.0,145,29.79,SW,15.4,22.8,0.0,42.8,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,09:15,50.3,38.0,62.5,0.0,126,29.79,SW,15.8,21.4,0.0,43.0,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,09:30,50.4,37.9,62.0,0.0,159,29.8,SW,17.3,25.0,0.0,43.2,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,09:45,51.0,39.2,63.6,0.0,277,29.8,SW,17.2,24.3,0.0,43.4,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,10:00,50.7,39.5,65.4,0.0,209,29.8,W,13.6,22.5,0.0,43.6,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,10:15,52.3,40.3,63.6,0.0,503,29.8,SW,16.5,24.6,0.0,43.9,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,10:30,53.9,40.7,60.9,0.0,565,29.8,SW,17.6,25.0,0.0,44.2,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,10:45,55.0,40.0,56.8,0.0,605,29.8,SW,19.9,28.6,0.0,44.7,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,11:00,55.5,39.8,55.4,0.0,623,29.81,SW,19.2,28.2,0.0,45.2,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
2016-03-10,11:15,56.0,39.9,54.5,0.0,634,29.82,SW,18.2,26.4,0.0,45.8,43.9,"Toppenish, Yakima County",310031,Toppenish,2020-12-15 19:41:05.576745
