Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2021-01-23,23:15,39.5,-72.5,0.3,0.0,0,29.97,SE,1.3,7.1,0.0,39.8,41.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-23,23:30,39.5,-72.7,0.3,0.0,0,29.97,SW,1.4,4.9,0.0,39.8,41.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-23,23:45,39.5,-72.5,0.3,0.0,0,29.97,SW,2.1,5.7,0.0,39.8,41.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-23,24:00,39.4,-72.7,0.3,0.0,0,29.96,SW,2.0,6.0,0.0,39.9,41.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-24,00:15,39.5,-72.5,0.3,0.0,0,29.95,SW,1.4,3.5,0.0,39.9,41.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-24,00:30,39.4,-72.6,0.3,0.0,0,29.95,SW,2.5,6.0,0.0,39.9,41.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-24,00:45,39.2,-72.7,0.3,0.0,0,29.94,SW,2.3,6.7,0.0,39.9,41.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-24,01:00,39.1,-72.5,0.3,0.0,0,29.93,SW,1.5,3.5,0.0,39.9,41.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-24,01:15,38.9,-72.6,0.3,0.0,0,29.93,SW,2.1,4.6,0.02,39.9,41.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-24,01:30,38.7,-73.0,0.3,0.0,0,29.92,SW,2.3,6.0,0.25,39.9,41.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
2021-01-24,01:45,38.6,-73.2,0.3,0.0,0,29.92,SW,2.3,4.9,0.5,40.0,41.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:35.426995
