Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg, 8 in. SWP kPa, Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2016-06-27,00:15,65.4,N @0.0,0.0,0.0,0,61.5,87.1,,,0.0,68.9,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,00:30,64.3,S@0.0,1.4,0.0,0,61.2,89.6,,,0.37,68.8,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,00:45,63.2,SW@0.0,3.1,0.0,0,60.7,91.6,,,1.0,68.8,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,01:00,62.3,N @0.0,0.0,0.0,0,60.4,93.2,,,1.0,68.7,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,01:15,61.9,N @0.0,0.0,0.0,0,60.2,94.2,,,1.0,68.6,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,01:30,62.0,N @0.0,0.0,0.0,0,60.5,94.8,,,1.0,68.6,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,01:45,61.8,N @0.0,0.0,0.0,0,60.1,94.0,,,1.0,68.5,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,02:00,61.8,N @0.0,0.0,0.0,0,60.0,93.8,,,1.0,68.4,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,02:15,61.1,N @0.0,0.0,0.0,0,59.5,94.2,,,1.0,68.4,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,02:30,61.4,N @0.0,0.0,0.0,0,59.5,93.5,,,1.0,68.3,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,02:45,61.0,N @0.0,0.0,0.0,0,58.8,92.5,,,1.0,68.2,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,03:00,60.1,N @0.0,0.0,0.0,0,58.2,93.5,,,1.0,68.1,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,03:15,60.9,N @0.0,0.0,0.0,0,58.1,90.7,,,1.0,68.1,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,03:30,59.7,N @0.0,0.0,0.0,0,57.5,92.4,,,1.0,68.0,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,03:45,58.6,N @0.0,0.0,0.0,0,57.2,95.1,,,1.0,67.9,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
2016-06-27,04:00,58.2,N @0.0,0.0,0.0,0,57.0,95.7,,,1.0,67.8,"Silverton*, Marion County",100053,Silverton*,2020-06-02 18:58:21.634560
