Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-09-15,00:15,55.0,54.9,99.5,0.0,NE@2.8,3.9,0.07,0,72.9,54.9,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,00:30,54.6,54.5,99.5,0.0,NE@2.8,3.9,0.08,0,72.9,54.5,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,00:45,54.6,54.5,99.5,0.0,E@3.2,5.3,0.08,0,72.9,54.5,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,01:00,54.1,54.0,99.5,0.0,E@2.9,4.9,0.05,0,72.8,54.0,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,01:15,54.4,54.3,99.4,0.0,E@2.7,4.2,0.0,0,72.8,54.3,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,01:30,53.7,53.6,99.5,0.0,E@0.8,4.2,0.14,0,72.8,53.5,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,01:45,52.5,52.4,99.5,0.0,SE@1.6,3.5,0.36,0,72.7,52.4,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,02:00,53.0,52.9,99.5,0.0,S@2.3,2.8,0.61,0,72.7,52.9,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,02:15,51.5,51.4,99.5,0.0,E@2.5,6.0,0.5,0,72.7,51.3,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,02:30,51.6,51.5,99.6,0.0,SE@2.0,4.2,0.58,0,72.6,51.5,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,02:45,50.9,50.8,99.5,0.0,E@2.7,6.0,0.6,0,72.6,50.7,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,03:00,49.8,49.7,99.6,0.0,NW@2.9,4.2,0.58,0,72.6,49.6,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,03:15,49.2,49.1,99.6,0.0,NE@1.3,4.9,0.75,0,72.5,49.1,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,03:30,49.7,49.7,99.6,0.0,NE@3.5,5.3,0.78,0,72.5,49.6,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,03:45,49.3,49.2,99.6,0.0,SE@1.8,3.5,0.73,0,72.4,49.1,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,04:00,52.6,52.5,99.5,0.0,SE@4.8,7.4,0.63,0,72.4,52.5,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,04:15,53.6,53.4,99.5,0.0,SE@4.8,7.1,0.05,0,72.3,53.5,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,04:30,54.1,54.0,99.5,0.0,SE@3.6,6.7,0.01,0,72.3,54.0,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,04:45,52.9,52.8,99.5,0.0,SE@5.3,7.8,0.0,0,72.2,52.9,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,05:00,53.2,53.1,99.5,0.0,SE@6.7,8.5,0.0,0,72.1,53.2,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,05:15,53.2,53.1,99.4,0.0,SE@5.8,8.5,0.0,0,72.1,53.2,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,05:30,53.7,53.6,99.4,0.0,SE@4.1,6.4,0.0,2,72.0,53.7,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,05:45,54.2,54.0,99.4,0.0,SE@5.3,7.8,0.0,8,72.0,54.1,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,06:00,55.1,55.0,99.3,0.0,SE@5.4,8.2,0.0,26,71.9,55.1,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,06:15,55.7,55.5,99.3,0.0,SE@4.9,8.2,0.0,46,71.9,55.7,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,06:30,56.1,55.9,99.3,0.0,SE@4.9,7.4,0.0,30,71.8,56.0,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,06:45,57.6,56.0,94.1,0.0,SE@4.8,7.4,0.0,114,71.7,57.5,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,07:00,60.0,51.0,72.2,0.0,SE@6.2,9.6,0.0,180,71.7,59.8,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,07:15,61.2,50.5,67.8,0.0,SE@6.7,9.2,0.0,218,71.6,61.0,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,07:30,61.5,50.2,66.4,0.0,SE@7.2,10.7,0.0,251,71.5,61.3,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,07:45,62.5,50.3,64.3,0.0,SE@7.0,9.9,0.0,300,71.5,62.2,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,08:00,63.8,50.8,62.5,0.0,S@6.5,9.2,0.0,351,71.4,63.6,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,08:15,65.2,51.1,60.3,0.0,S@7.2,10.7,0.0,451,71.3,65.0,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,08:30,65.6,51.3,59.8,0.0,S@7.7,12.4,0.0,452,71.3,65.4,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,08:45,66.8,51.8,58.5,0.0,S@7.6,11.7,0.0,444,71.2,66.5,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,09:00,67.5,50.3,54.1,0.0,S@7.6,11.4,0.0,371,71.2,67.2,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,09:15,67.1,50.6,55.4,0.0,S@6.8,11.4,0.0,413,71.1,67.0,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,09:30,70.5,50.2,48.5,0.0,S@6.7,11.7,0.0,679,71.0,70.1,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,09:45,68.9,49.4,49.6,0.0,S@7.7,11.7,0.0,368,71.0,68.7,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,10:00,69.0,49.4,49.6,0.0,SW@7.6,11.4,0.0,424,70.9,68.7,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,10:15,68.3,49.4,50.7,0.0,SW@6.8,11.4,0.0,260,70.9,68.2,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,10:30,68.5,50.1,51.7,0.0,SW@6.0,9.6,0.0,216,70.9,68.4,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
2019-09-15,10:45,68.5,50.4,52.4,0.0,SW@5.0,7.8,0.0,199,70.8,68.4,"Moses.Lake (Moses Lake), Grant County",330127,Moses.Lake,2020-01-21 16:49:29.181899
