Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2012-02-29,00:15,28.7,29.3,26.7,94.3,0.0,N@5.6,8.2,,35.6,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,00:30,28.7,29.3,26.7,94.3,0.0,NW@6.1,9.2,,35.6,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,00:45,28.7,29.3,26.7,94.4,0.0,NW@5.8,8.9,,35.6,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,01:00,28.8,29.3,26.9,94.5,0.0,N@5.4,7.8,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,01:15,28.8,29.4,26.9,94.6,0.0,N@5.1,7.4,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,01:30,29.0,29.5,27.1,94.6,0.0,NW@4.9,6.7,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,01:45,28.9,29.4,26.9,94.6,0.0,NW@5.4,7.8,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,02:00,28.8,29.3,26.9,94.6,0.0,NW@5.2,7.8,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,02:15,28.7,29.2,26.8,94.6,0.0,NW@5.6,8.2,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,02:30,28.6,29.0,26.6,94.6,0.0,NW@5.6,8.2,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,02:45,28.6,29.0,26.6,94.6,0.0,NW@4.4,6.7,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,03:00,28.4,28.8,26.4,94.5,0.0,NW@4.6,6.7,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,03:15,28.1,28.5,26.1,94.4,0.0,NW@4.4,7.4,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,03:30,27.8,28.2,25.6,94.3,0.0,NW@3.5,4.9,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,03:45,27.9,28.2,25.7,94.3,0.0,NW@3.6,5.7,,35.5,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,04:00,27.6,27.9,25.4,94.2,0.0,NW@3.7,5.7,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,04:15,27.6,28.0,25.4,94.2,0.0,NW@3.4,4.9,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,04:30,27.2,27.5,24.9,93.8,0.0,W@2.2,4.6,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,04:45,26.6,26.8,24.1,93.5,0.0,S@0.6,3.9,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,05:00,25.9,26.1,23.3,93.3,0.0,NE@0.8,2.8,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,05:15,25.8,26.3,23.2,93.4,0.0,S@2.3,3.5,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,05:30,25.8,26.4,23.2,93.5,0.0,S@2.9,4.9,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,05:45,26.2,26.7,23.7,93.4,0.0,S@1.8,2.4,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,06:00,26.5,26.9,24.0,93.3,0.0,S@1.5,2.4,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,06:15,23.8,23.4,20.5,91.8,0.0,NW@2.3,3.9,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,06:30,24.7,25.4,21.9,92.9,0.0,SE@1.9,3.1,,35.4,0.0,0,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,06:45,25.2,25.5,22.4,92.8,0.0,SE@2.0,3.5,,35.4,0.0,4,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,07:00,25.1,25.3,22.2,92.5,0.0,SE@2.3,3.5,,35.4,0.0,11,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
2012-02-29,07:15,24.9,25.6,21.8,91.8,0.0,E@2.2,3.5,,35.4,0.0,67,"Royal City West, Grant County",320098,Royal City West,2017-12-08 02:49:00.040392
