Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2020-01-13,00:15,20.9,8.1,61.0,0.0,E@26.0,35.3,0.0,0,38.4,20.8,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,00:30,20.8,8.0,61.2,0.0,E@25.3,33.9,0.0,0,38.4,20.7,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,00:45,20.6,7.5,60.3,0.0,NE@24.4,32.8,0.0,0,38.4,20.5,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,01:00,20.3,6.9,59.4,0.0,NE@24.4,35.7,0.0,0,38.4,20.2,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,01:15,19.9,6.9,60.5,0.0,NE@22.7,30.7,0.0,0,38.3,19.8,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,01:30,19.8,6.9,60.8,0.0,NE@22.8,31.1,0.0,0,38.3,19.7,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,01:45,19.6,6.5,60.2,0.0,NE@23.5,32.5,0.0,0,38.3,19.5,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,02:00,19.4,6.3,60.3,0.0,NE@23.0,31.8,0.0,0,38.3,19.3,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,02:15,19.2,6.1,60.2,0.0,NE@23.0,32.8,0.0,0,38.3,19.1,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,02:30,19.1,5.8,59.9,0.0,NE@24.0,34.6,0.0,0,38.2,19.0,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,02:45,18.8,5.7,60.4,0.0,NE@23.8,34.3,0.0,0,38.2,18.7,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,03:00,18.8,5.2,59.1,0.0,NE@24.4,36.8,0.0,0,38.2,18.7,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,03:15,18.7,4.9,58.6,0.0,NE@25.6,36.4,0.0,0,38.2,18.6,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,03:30,18.6,4.8,58.6,0.0,E@25.1,35.3,0.0,0,38.2,18.5,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,03:45,18.6,4.2,57.0,0.0,E@26.2,37.9,0.0,0,38.2,18.5,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,04:00,18.3,4.2,57.6,0.0,NE@25.8,36.8,0.0,0,38.1,18.2,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,04:15,18.0,4.3,58.7,0.0,NE@24.6,33.9,0.0,0,38.1,17.9,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,04:30,17.9,4.1,58.6,0.0,NE@25.0,34.6,0.0,0,38.1,17.8,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,04:45,17.6,3.8,58.7,0.0,NE@25.8,33.6,0.0,0,38.1,17.5,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,05:00,17.4,3.8,59.3,0.0,NE@25.0,36.1,0.0,0,38.1,17.3,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,05:15,17.5,3.2,57.3,0.0,NE@25.9,34.3,0.0,0,38.1,17.4,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
2020-01-13,05:30,17.2,3.3,58.5,0.0,NE@24.8,37.5,0.0,0,38.1,17.1,"Nooksack, Whatcom County",330061,Nooksack,2020-01-21 16:36:05.466411
