Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2021-04-01,00:30,39.0,37.2,93.2,0.0,0,E,2.5,3.5,0.95,45.5,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,00:45,38.7,37.2,94.3,0.0,0,E,2.7,3.9,0.95,45.6,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,01:00,38.6,37.3,95.1,0.0,0,E,3.5,4.9,0.95,45.6,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,01:15,38.3,37.2,95.8,0.0,0,E,3.7,6.0,0.95,45.6,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,01:30,38.2,37.0,95.4,0.0,0,E,4.8,6.4,0.95,45.6,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,01:45,38.2,37.1,95.9,0.0,0,E,4.2,5.7,0.95,45.6,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,02:00,38.0,36.8,95.6,0.0,0,NE,3.6,4.9,0.95,45.6,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,02:15,37.8,36.4,94.9,0.0,0,NE,2.3,4.6,0.95,45.5,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,02:30,37.4,36.2,95.5,0.0,0,E,1.0,2.4,0.95,45.5,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,02:45,37.0,35.8,95.6,0.0,0,E,2.5,3.5,0.95,45.5,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,03:00,36.5,35.5,96.3,0.0,0,S,1.8,2.8,0.96,45.5,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,03:15,36.7,35.9,96.9,0.0,0,E,0.5,2.1,1.0,45.5,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,03:30,37.1,36.4,97.1,0.0,0,E,3.3,4.6,1.0,45.5,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
2021-04-01,03:45,37.6,36.8,96.9,0.0,0,SE,3.2,4.2,1.0,45.5,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:17:41.167583
