Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph," 20""Soil VWC %", 20 in. Soil Tmp °F," 10""Soil VWC %", 10 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-09-16,00:15,55.5,43.4,63.4,0.0,0,30.14,E,2.5,3.4,24.6,67.35,26.6,66.45,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,00:30,55.1,43.5,64.8,0.0,0,30.14,E,2.2,2.9,24.6,67.37,26.6,66.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,00:45,54.3,42.7,64.8,0.0,0,30.14,E,2.7,3.1,24.6,67.32,26.6,66.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,01:00,53.8,42.9,66.4,0.0,0,30.14,E,3.1,3.8,24.6,67.41,26.6,66.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,01:15,54.2,43.9,67.9,0.0,0,30.14,E,3.4,4.0,24.6,67.35,26.6,66.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,01:30,56.1,45.2,66.8,0.0,0,30.13,NE,4.3,5.1,24.6,67.37,26.6,66.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,01:45,56.6,45.2,65.5,0.0,0,30.13,NE,4.7,5.4,24.6,67.39,26.6,66.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,02:00,55.8,44.8,66.5,0.0,0,30.13,NE,4.5,5.1,24.6,67.39,26.6,66.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,02:15,55.4,45.0,67.8,0.0,0,30.14,NE,4.3,4.7,24.6,67.39,26.6,66.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
2020-09-16,02:30,55.2,45.0,68.4,0.0,0,30.14,NE,3.8,4.5,24.6,67.39,26.6,66.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:51:09.281959
