Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg," 20""Soil VWC %", 20 in. Soil Tmp °F," 10""Soil VWC %", 10 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2019-08-18,01:00,60.8,N @0.7,2.2,,0,46.2,58.5,29.86,30.3,74.4,29.9,75.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,02:00,60.2,N @0.7,2.0,,0,46.3,60.1,29.86,30.3,74.4,29.9,75.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,03:00,57.4,N @2.2,3.1,,0,46.0,65.5,29.87,30.3,74.5,29.9,75.0,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,04:00,56.9,N @2.9,4.3,,0,46.0,66.8,29.87,30.3,74.5,29.9,74.9,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,05:00,54.9,N @2.2,4.0,,0,46.2,72.3,29.87,30.3,74.5,29.9,74.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,06:00,54.4,N @2.2,2.9,,2,46.3,74.0,29.88,30.3,74.5,29.9,74.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,07:00,55.5,N @2.5,4.5,,68,47.6,74.4,29.89,30.3,74.5,29.9,74.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,08:00,60.6,NE@4.5,6.0,,211,48.8,64.9,29.9,30.3,74.6,29.9,74.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,09:00,65.3,NE@4.0,5.1,,373,48.7,54.8,29.9,30.3,74.6,29.8,73.8,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,10:00,71.2,NE@2.0,3.6,,549,48.6,44.7,29.89,30.3,74.5,29.8,73.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,11:00,77.5,NE@2.5,4.3,,693,49.1,36.8,29.87,30.3,74.5,29.8,73.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,12:00,82.3,NE@1.6,4.9,,786,48.7,31.0,29.86,30.3,74.5,29.8,73.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,13:00,85.2,NE@2.2,6.9,,848,46.5,26.0,29.84,30.3,74.4,29.8,73.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,14:00,87.3,N @2.0,4.7,,832,45.1,23.1,29.82,30.2,74.4,29.8,73.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,15:00,88.8,N @2.2,5.8,,710,42.2,19.7,29.8,30.2,74.3,29.8,73.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,16:00,90.1,N @2.2,4.0,,712,40.7,17.8,29.78,30.2,74.3,29.8,73.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,17:00,91.1,N @2.0,4.3,,589,39.7,16.6,29.76,30.2,74.2,29.8,73.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,18:00,90.1,N @2.0,4.0,,407,40.8,17.9,29.76,30.2,74.2,29.7,73.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,19:00,88.6,N @2.5,3.8,,218,44.7,21.8,29.76,30.2,74.1,29.7,73.9,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,20:00,83.2,N @1.6,3.4,,55,42.2,23.6,29.76,30.2,74.1,29.8,74.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,21:00,75.6,N @0.4,1.6,,0,38.7,26.4,29.77,30.2,74.1,29.8,74.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,22:00,69.7,N @2.0,3.1,,0,42.4,37.2,29.8,30.2,74.1,29.8,74.9,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,23:00,71.9,N @0.7,2.0,,0,37.1,28.1,29.79,30.2,74.1,29.8,75.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-18,24:00,67.8,N @1.1,2.5,,0,39.5,35.4,29.81,30.2,74.2,29.8,75.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,01:00,63.6,N @1.8,2.7,,0,40.2,42.1,29.82,30.2,74.2,29.8,75.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,02:00,62.4,N @2.2,2.9,,0,41.0,45.4,29.83,30.2,74.3,29.8,75.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,03:00,61.2,N @2.7,3.6,,0,39.3,44.3,29.84,30.2,74.3,29.8,75.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,04:00,59.0,N @2.0,3.4,,0,42.5,54.4,29.86,30.2,74.4,29.8,75.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,05:00,58.2,N @2.5,3.6,,0,43.1,57.2,29.88,30.2,74.4,29.8,75.0,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,06:00,57.3,NE@1.8,6.0,,1,44.7,62.5,29.9,30.2,74.4,29.8,74.8,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,07:00,57.7,N @0.0,0.2,,66,45.7,64.2,29.91,30.2,74.5,29.7,74.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,08:00,64.5,NE@0.4,3.6,,205,46.9,52.8,29.92,30.2,74.5,29.7,74.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,09:00,68.8,NE@0.4,3.8,,376,47.7,46.9,29.93,30.2,74.5,29.7,74.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,10:00,73.0,N @0.9,2.7,,544,47.0,39.5,29.94,30.2,74.5,29.7,74.0,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,11:00,79.9,NE@1.8,4.3,,694,46.3,30.7,29.94,30.2,74.5,29.7,73.8,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,12:00,83.5,N @1.8,4.0,,790,45.2,26.2,29.94,30.2,74.5,29.7,73.8,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,13:00,86.0,N @1.8,3.6,,853,42.9,22.2,29.93,30.2,74.5,29.7,73.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,14:00,88.0,N @2.0,4.5,,858,43.8,21.4,29.93,30.2,74.4,29.6,73.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,15:00,89.5,N @1.3,3.6,,813,44.5,21.0,29.92,30.1,74.4,29.6,73.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,16:00,90.3,N @1.8,4.5,,720,44.4,20.4,29.92,30.1,74.3,29.6,73.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,17:00,90.1,N @1.8,4.9,,581,43.7,20.0,29.91,30.1,74.3,29.6,73.8,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,18:00,89.8,N@1.3,3.8,,407,43.2,19.8,29.9,30.1,74.3,29.6,74.0,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,19:00,87.9,NE@2.0,3.4,,217,43.3,21.1,29.9,30.1,74.2,29.6,74.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,20:00,82.7,E@1.3,3.1,,54,43.0,24.7,29.92,30.1,74.2,29.6,74.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,21:00,75.1,N @0.0,0.0,,0,42.9,31.6,29.93,30.1,74.2,29.6,75.0,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,22:00,70.6,N @0.0,0.0,,0,45.4,40.4,29.95,30.1,74.2,29.6,75.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,23:00,71.3,N @0.0,0.0,,0,44.0,37.4,29.95,30.1,74.3,29.6,75.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-19,24:00,67.8,N @0.0,0.0,,0,44.3,42.6,29.97,30.1,74.3,29.6,75.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,01:00,64.4,N @0.0,0.2,,0,45.1,49.5,29.97,30.1,74.4,29.6,75.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,02:00,63.8,N @0.0,0.2,,0,43.7,47.9,29.97,30.1,74.4,29.6,75.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,03:00,61.7,N @0.0,0.0,,0,44.9,54.0,29.99,30.1,74.5,29.6,75.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,04:00,61.0,N @0.0,1.3,,0,45.0,55.6,30.0,30.1,74.6,29.6,75.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,05:00,59.8,E@0.9,3.6,,0,45.4,58.9,29.99,30.1,74.6,29.6,75.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,06:00,59.5,NE@1.6,3.4,,0,45.7,60.1,30.0,30.1,74.7,29.6,75.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,07:00,58.8,NE@0.9,4.3,,50,46.6,63.9,30.01,30.1,74.7,29.6,75.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,08:00,64.5,NE@2.9,5.6,,176,48.0,54.9,30.02,30.1,74.7,29.6,74.9,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,09:00,69.2,NE@1.1,3.6,,336,47.8,46.4,30.02,30.1,74.7,29.6,74.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,10:00,75.3,NE@0.2,1.6,,531,47.4,37.1,30.01,30.1,74.7,29.6,74.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,11:00,80.9,NE@0.2,1.6,,674,48.4,32.1,29.99,30.1,74.7,29.5,74.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,12:00,86.0,NE@0.2,2.5,,774,49.2,28.0,29.98,30.1,74.7,29.5,74.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,13:00,89.8,NE@0.7,4.0,,844,49.7,25.4,29.96,30.1,74.7,29.5,74.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,14:00,94.0,NE@1.3,6.0,,858,48.4,21.2,29.94,30.1,74.7,29.5,74.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,15:00,96.4,NE@2.7,4.9,,818,44.2,16.8,29.91,30.1,74.7,29.5,74.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,16:00,98.5,NW@1.1,3.6,,710,40.3,13.6,29.89,30.1,74.6,29.5,74.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,17:00,99.8,NE@0.9,4.0,,555,41.8,13.8,29.87,30.1,74.6,29.5,74.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,18:00,99.0,NE@0.4,2.5,,340,42.3,14.5,29.86,30.1,74.5,29.4,74.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,19:00,97.0,N @1.1,3.4,,194,42.0,15.1,29.86,30.0,74.5,29.4,75.0,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,20:00,89.2,N @1.1,2.0,,19,41.4,18.9,29.87,30.0,74.5,29.5,75.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,21:00,82.1,N @0.2,0.9,,0,40.4,22.8,29.88,30.0,74.5,29.5,75.8,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,22:00,79.1,N @0.0,0.0,,0,40.2,24.9,29.89,30.0,74.5,29.5,76.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,23:00,76.6,N @0.0,0.0,,0,39.1,25.9,29.89,30.0,74.6,29.5,76.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-20,24:00,76.4,N @0.0,0.0,,0,39.0,26.0,29.9,30.0,74.6,29.5,76.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-21,01:00,74.3,N @0.0,0.0,,0,39.2,28.1,29.91,30.0,74.7,29.5,76.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-21,02:00,71.5,N @0.0,0.7,,0,39.4,31.1,29.92,30.0,74.8,29.5,76.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-21,03:00,72.2,N @0.2,0.7,,0,40.5,31.7,29.93,30.0,74.8,29.5,76.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
2019-08-21,04:00,70.4,NE@0.2,1.3,,0,41.5,35.1,29.93,30.0,74.9,29.5,76.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 20:42:11.470881
