Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2009-04-24,00:15,34.7,,30.2,83.4,0.11,W@3.3,4.6,56.3,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,00:30,35.2,,29.4,79.2,0.07,W@3.4,4.9,56.1,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,00:45,35.0,,29.7,80.7,0.08,W@2.4,3.5,55.9,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,01:00,35.7,,29.1,76.6,0.07,W@2.8,4.2,55.8,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,01:15,36.9,,28.5,71.4,0.02,W@3.8,6.0,55.6,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,01:30,35.8,,28.7,75.2,0.01,W@4.2,5.7,55.5,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,01:45,35.2,,28.5,76.3,0.02,W@4.3,5.7,55.4,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,02:00,34.7,,28.4,77.5,0.02,W@3.8,5.7,55.2,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,02:15,35.0,,28.3,76.4,0.02,W@3.5,4.9,55.0,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,02:30,34.7,,27.7,75.4,0.02,NW@2.8,4.9,54.9,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,02:45,35.0,,27.7,74.4,0.01,NW@2.8,6.7,54.7,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,03:00,34.5,,27.9,76.7,0.04,W@1.1,5.3,54.6,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,03:15,33.7,,27.6,78.2,0.11,SW@1.1,2.8,54.5,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
2009-04-24,03:30,34.5,,27.4,75.1,0.13,SW@0.5,2.8,54.3,0.0,0,"Basin City, Franklin County",300116,Basin City,2017-12-15 02:42:42.571752
