Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg, 8 in. SWP kPa, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2019-11-25,07:45,,W@NA,,,,,99.5,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,08:00,,NW@NA,,,,,99.7,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,08:15,,SW@NA,,,,,99.6,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,08:30,,S@NA,,,,,99.9,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,08:45,,S@NA,,,,,99.8,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,09:00,,SE@NA,,,,,99.8,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,09:15,,SE@NA,,,,,99.9,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,09:30,,SW@NA,,,,,100.0,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,09:45,,SW@NA,,,,,99.9,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,10:00,,SW@NA,,,,,99.7,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,10:15,,S@NA,,,,,99.9,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,10:30,,SW@NA,,,,,100.0,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
2019-11-25,10:45,,S@NA,,,,,99.8,,,,,,"Van.Zandt, Deming, Whatcom County",100024,Van.Zandt,2020-06-03 08:40:28.210229
