Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-09-15,00:15,63.4,42.9,47.0,SW@5.7,9.2,0.0,0,29.76,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,00:30,63.8,42.3,45.4,SW@6.4,9.9,0.0,0,29.76,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,00:45,63.9,41.7,44.2,W@6.3,10.1,0.0,0,29.75,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,01:00,65.2,41.3,41.5,W@7.4,16.2,0.0,0,29.75,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,01:15,64.7,41.0,41.9,W@5.9,10.8,0.0,0,29.75,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,01:30,62.6,40.4,44.0,W@6.0,13.4,0.0,0,29.74,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,01:45,60.9,39.9,45.9,W@4.7,7.6,0.0,0,29.74,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,02:00,61.2,39.8,45.1,W@4.2,6.6,0.0,0,29.74,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,02:15,61.3,40.5,46.3,SW@4.4,7.9,0.0,0,29.73,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,02:30,62.7,41.4,45.6,SW@7.4,13.5,0.0,0,29.73,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,02:45,61.3,42.1,49.2,SW@7.1,11.7,0.0,0,29.72,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,03:00,60.7,42.5,51.0,SW@4.2,8.9,0.0,0,29.72,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,03:15,61.4,42.9,50.6,SW@5.7,12.4,0.0,0,29.72,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,03:30,62.6,43.5,49.5,SW@6.8,13.9,0.0,0,29.72,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,03:45,63.6,44.0,48.7,SW@5.9,16.4,0.0,0,29.71,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
2019-09-15,04:00,62.8,43.5,49.2,SW@5.7,11.6,0.0,0,29.71,08CF15,100011,"08CF15, WA",2019-11-27 07:19:03.276442
