Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2013-03-07,00:15,41.9,41.3,97.4,0.01,0,29.93,W,2.3,4.2,0.89,44.9,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,00:30,41.8,41.1,97.4,0.02,0,29.94,W,2.5,4.9,0.88,44.9,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,00:45,41.9,41.3,97.4,0.01,0,29.94,W,2.8,7.4,0.88,44.9,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,01:00,42.2,41.4,97.2,0.02,0,29.95,W,2.3,4.2,0.88,44.8,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,01:15,42.3,41.5,97.1,0.01,0,29.95,W,1.5,4.2,0.88,44.8,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,01:30,42.3,41.5,97.1,0.01,0,29.96,W,0.4,2.4,0.88,44.8,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,01:45,42.3,41.6,97.1,0.02,0,29.97,W,1.5,3.9,0.87,44.8,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,02:00,42.3,41.6,97.2,0.01,0,29.97,W,2.1,3.9,0.87,44.7,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,02:15,42.4,41.6,97.2,0.02,0,29.97,SW,1.5,3.9,0.86,44.7,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
2013-03-07,02:30,42.6,41.8,97.2,0.01,0,29.97,SW,1.0,3.9,0.87,44.7,"Tumwa.SW, Thurston County",330153,Tumwater,2020-12-21 14:08:51.189231
