Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-08-25,00:15,60.0,49.6,68.3,SW@1.6,6.2,0.0,0,30.02,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,00:30,61.6,50.6,67.1,SW@2.7,9.4,0.0,0,30.02,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,00:45,61.5,51.1,68.5,SW@3.4,8.8,0.0,0,30.02,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,01:00,61.2,51.1,69.4,SW@2.4,8.2,0.0,0,30.02,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,01:15,59.6,50.1,70.7,NW@1.4,3.8,0.0,0,30.03,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,01:30,58.6,49.4,71.5,SW@0.7,2.4,0.0,0,30.03,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,01:45,57.7,49.3,73.5,W@1.1,3.2,0.0,0,30.04,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,02:00,58.5,49.4,71.9,NW@1.5,5.5,0.0,0,30.05,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,02:15,57.3,49.8,75.9,SW@0.8,2.0,0.0,0,30.05,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,02:30,57.0,49.7,76.4,W@1.0,3.2,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,02:45,56.3,49.8,78.8,SW@1.1,2.3,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,03:00,56.4,50.2,79.6,SW@1.0,2.2,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,03:15,56.2,50.6,81.5,SW@0.9,2.1,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,03:30,57.0,50.2,77.8,W@1.1,4.1,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,03:45,59.7,50.2,70.8,SW@2.5,7.0,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,04:00,59.9,50.6,71.2,W@2.3,6.1,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,04:15,59.9,50.5,70.9,SW@2.3,7.0,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,04:30,59.5,50.5,72.0,SW@2.3,8.5,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,04:45,59.3,50.5,72.5,SW@2.4,6.6,0.0,0,30.06,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,05:00,59.2,50.2,72.0,SW@2.6,7.4,0.0,0,30.07,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,05:15,58.8,50.0,72.4,SW@2.2,6.3,0.0,1,30.07,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,05:30,58.2,49.9,73.6,SW@1.5,5.6,0.0,6,30.08,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,05:45,57.9,49.8,74.3,W@1.4,3.7,0.0,16,30.08,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,06:00,57.0,50.0,77.4,W@0.8,1.9,0.0,37,30.09,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,06:15,57.3,51.2,79.9,SW@0.6,1.3,0.0,84,30.09,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,06:30,57.3,51.8,82.0,W@0.6,1.3,0.0,123,30.09,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,06:45,58.7,52.9,81.0,NW@1.1,3.9,0.0,157,30.1,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,07:00,59.9,52.1,75.3,N@1.3,3.0,0.0,112,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,07:15,60.8,52.7,74.7,N@0.8,2.0,0.0,240,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,07:30,62.8,53.7,72.1,N@1.1,3.3,0.0,210,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,07:45,63.7,54.1,70.7,N @1.0,3.8,0.0,314,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,08:00,63.7,54.0,70.5,NE@1.6,5.0,0.0,366,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,08:15,64.6,53.8,67.9,NE@1.3,4.3,0.0,407,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,08:30,66.3,53.8,64.0,NE@0.9,2.3,0.0,448,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,08:45,67.2,52.9,60.1,N@0.8,3.0,0.0,488,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,09:00,68.9,54.0,59.1,E@1.1,3.5,0.0,526,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,09:15,68.0,53.0,58.7,NE@1.7,3.6,0.0,562,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,09:30,68.3,53.0,58.2,NE@1.7,4.6,0.0,596,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,09:45,68.5,52.4,56.4,NE@1.7,5.9,0.0,628,30.14,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,10:00,69.1,51.5,53.5,E@1.6,4.3,0.0,658,30.14,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,10:15,69.7,51.1,51.5,E@1.3,3.9,0.0,684,30.14,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,10:30,70.9,51.4,50.1,E@1.2,3.2,0.0,708,30.14,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,10:45,71.6,51.1,48.4,E@1.0,3.1,0.0,726,30.14,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
2019-08-25,11:00,71.6,50.3,47.0,E@1.3,2.7,0.0,516,30.14,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 06:59:34.984695
