Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2017-01-17,00:15,9.5,9.2,5.0,91.4,0.07,NE@3.2,4.2,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,00:30,9.9,9.6,5.4,91.5,0.08,NE@3.1,3.9,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,00:45,9.1,8.9,4.6,91.6,0.07,NE@2.9,3.5,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,01:00,8.9,8.8,4.6,92.3,0.07,NE@2.3,2.8,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,01:15,9.0,8.7,4.7,92.5,0.07,NE@1.8,2.8,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,01:30,8.6,8.2,4.3,92.6,0.07,NW@0.9,2.1,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,01:45,7.5,7.3,2.9,91.6,0.06,NE@1.1,2.8,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,02:00,4.4,4.1,-0.8,89.9,0.06,N@2.9,4.2,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,02:15,4.4,3.9,-0.7,90.4,0.06,NE@2.0,3.5,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,02:30,5.7,5.4,0.9,91.0,0.06,SE@2.4,3.5,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
2017-01-17,02:45,5.7,5.3,0.8,91.0,0.06,S@1.9,3.9,32.7,0.0,0,"Horrigan, Benton County",100129,Horrigan,2017-12-12 01:31:15.839366
