Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2020-01-02,00:15,40.2,40.1,99.4,0.0,SW@8.9,11.7,0.0,0,38.6,38.9,40.2,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,00:30,40.4,40.2,99.4,0.0,SW@11.7,15.3,0.0,0,38.6,38.9,40.4,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,00:45,41.8,41.6,99.1,0.0,W@13.5,20.0,0.0,0,38.6,38.9,41.9,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,01:00,41.7,41.5,98.9,0.0,W@12.0,24.3,0.0,0,38.6,38.8,41.8,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,01:15,44.2,40.6,87.1,0.0,W@19.3,29.3,0.0,0,38.5,38.8,44.3,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,01:30,44.1,39.8,84.8,0.0,W@20.5,29.3,0.0,0,38.5,38.8,44.1,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,01:45,43.5,40.0,87.3,0.0,W@19.0,27.5,0.0,0,38.5,38.8,43.5,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,02:00,42.9,40.4,90.9,0.0,W@16.2,22.5,0.0,0,38.5,38.8,42.9,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,02:15,41.5,41.1,98.4,0.0,W@9.7,13.5,0.0,0,38.5,38.8,41.6,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,02:30,43.0,37.7,81.4,0.0,W@15.4,29.6,0.0,0,38.5,38.7,43.1,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,02:45,43.8,34.9,70.5,0.0,W@19.2,27.1,0.0,0,38.5,38.7,43.9,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,03:00,43.7,34.0,68.3,0.0,W@17.8,26.0,0.0,0,38.4,38.7,43.8,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,03:15,43.2,33.9,69.4,0.0,W@17.8,25.7,0.0,0,38.4,38.7,43.3,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,03:30,43.0,33.5,69.0,0.0,W@18.0,26.4,0.0,0,38.4,38.7,43.1,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,03:45,42.1,35.9,78.4,0.0,W@13.0,23.2,0.0,0,38.4,38.7,42.1,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,04:00,41.6,36.2,80.8,0.0,W@11.9,18.2,0.0,0,38.4,38.7,41.7,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,04:15,41.6,35.5,78.7,0.0,W@15.1,20.7,0.0,0,38.4,38.6,41.7,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,04:30,41.8,33.8,73.0,0.0,W@16.8,23.5,0.0,0,38.4,38.6,41.9,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,04:45,41.6,32.4,69.4,0.0,W@14.9,19.6,0.0,0,38.4,38.6,41.7,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,05:00,41.2,31.6,68.3,0.0,W@12.1,17.5,0.0,0,38.3,38.6,41.3,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,05:15,40.6,31.5,69.8,0.0,W@9.6,13.5,0.0,0,38.3,38.6,40.6,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,05:30,40.5,30.3,66.7,0.0,W@12.6,16.0,0.0,0,38.3,38.6,40.6,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,05:45,40.2,30.6,68.1,0.0,W@11.3,15.7,0.0,0,38.3,38.6,40.3,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,06:00,40.4,29.8,65.6,0.0,W@11.9,15.7,0.0,0,38.3,38.6,40.5,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,06:15,39.7,30.3,68.9,0.0,W@9.4,13.5,0.0,0,38.2,38.6,39.7,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,06:30,39.1,30.0,69.6,0.0,W@5.7,9.9,0.0,0,38.2,38.6,39.1,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,06:45,38.3,30.1,72.1,0.0,W@4.1,6.4,0.0,0,38.2,38.5,38.3,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,07:00,37.0,31.3,79.7,0.0,SW@4.8,6.7,0.0,0,38.1,38.5,37.0,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,07:15,38.4,29.6,70.3,0.0,W@7.1,10.3,0.0,0,38.1,38.5,38.5,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,07:30,38.6,30.5,72.3,0.0,W@8.3,11.7,0.0,0,38.1,38.5,38.6,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,07:45,38.2,31.5,76.8,0.0,W@7.9,9.9,0.0,2,38.0,38.5,38.2,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,08:00,38.0,32.0,78.6,0.0,W@7.5,10.3,0.0,11,38.0,38.5,38.1,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,08:15,38.1,31.9,77.9,0.0,W@8.7,12.1,0.0,20,37.9,38.4,38.2,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,08:30,37.3,33.3,85.3,0.0,W@6.4,9.6,0.0,34,37.9,38.4,37.3,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,08:45,37.7,33.5,84.9,0.0,NW@5.0,6.7,0.0,61,37.8,38.4,37.7,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
2020-01-02,09:00,38.6,34.0,83.3,0.0,W@7.4,9.9,0.0,75,37.8,38.4,38.7,"Warden.SW (Warden Golf), Grant County",330042,Warden.SW,2020-01-21 14:36:25.249838
