Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2018-09-22,00:15,57.3,57.3,57.1,99.3,0.0,NW@2.3,3.9,70.6,73.8,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,00:30,57.7,57.7,57.5,99.3,0.0,NW@2.2,3.9,70.3,73.8,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,00:45,58.2,58.2,58.0,99.3,0.0,W@2.4,3.1,70.1,73.7,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,01:00,58.9,58.9,57.9,96.2,0.0,NW@2.2,3.9,69.9,73.7,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,01:15,60.2,60.2,55.8,85.2,0.0,NW@3.7,4.9,69.7,73.6,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,01:30,59.0,59.0,57.8,95.5,0.0,W@3.7,5.3,69.5,73.6,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,01:45,58.7,58.7,57.4,95.6,0.0,W@1.5,3.9,69.3,73.5,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,02:00,58.1,58.1,56.6,94.7,0.0,W@2.7,4.2,69.2,73.5,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,02:15,59.6,59.6,54.2,82.2,0.0,W@2.2,5.3,69.0,73.4,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,02:30,60.0,60.0,52.6,76.3,0.0,W@4.1,8.5,68.8,73.3,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,02:45,59.6,59.7,51.6,74.6,0.0,W@5.4,7.4,68.6,73.3,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,03:00,60.1,60.1,50.2,69.8,0.0,W@4.3,8.5,68.4,73.2,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,03:15,59.8,59.8,50.5,71.2,0.0,SW@4.6,7.4,68.2,73.2,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,03:30,60.2,60.3,50.2,69.5,0.0,SW@6.4,9.6,68.0,73.1,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,03:45,59.7,59.7,50.8,72.3,0.0,W@6.2,9.2,67.7,73.0,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,04:00,58.0,58.1,51.6,79.2,0.0,W@6.0,7.8,67.5,73.0,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,04:15,57.3,57.4,52.1,82.7,0.0,W@6.2,8.2,67.3,72.9,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,04:30,56.2,56.3,52.0,85.5,0.0,W@3.4,7.1,67.1,72.8,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,04:45,55.1,55.0,52.0,89.2,0.0,W@3.9,6.4,66.8,72.8,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,05:00,56.1,56.2,52.9,88.9,0.0,W@4.9,8.5,66.6,72.7,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,05:15,55.0,55.0,53.1,93.3,0.0,W@3.1,5.7,66.3,72.6,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,05:30,55.1,55.1,53.7,95.1,0.0,W@5.0,6.7,66.0,72.6,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,05:45,53.4,53.4,53.2,99.3,0.0,W@4.3,5.7,65.7,72.5,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,06:00,53.4,53.4,53.2,99.4,0.0,W@4.6,6.0,65.4,72.4,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,06:15,52.9,52.9,52.8,99.4,0.0,W@4.9,6.7,65.2,72.4,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,06:30,52.7,52.7,52.5,99.4,0.0,W@4.0,5.7,65.0,72.3,0.0,0,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,06:45,53.4,53.4,53.2,99.4,0.0,W@6.0,7.8,64.8,72.2,0.0,1,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,07:00,54.8,54.8,54.6,99.3,0.0,W@7.0,9.2,64.6,72.2,0.0,5,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,07:15,54.8,54.8,54.6,99.3,0.0,W@5.0,9.2,64.4,72.1,0.0,18,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,07:30,55.0,55.1,54.8,99.0,0.0,SW@3.4,6.0,64.3,72.0,0.0,29,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,07:45,57.3,57.3,55.3,92.9,0.0,SW@5.4,11.0,64.2,71.9,0.0,48,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,08:00,56.4,56.4,55.9,98.1,0.0,W@4.5,6.7,64.1,71.8,0.0,61,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,08:15,56.9,56.9,55.9,96.3,0.0,W@5.1,8.9,64.1,71.8,0.0,82,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,08:30,58.5,58.5,54.5,86.6,0.0,W@7.8,11.0,64.1,71.7,0.0,100,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,08:45,58.9,58.9,54.3,84.7,0.0,W@8.0,11.4,64.2,71.6,0.0,121,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,09:00,59.5,59.5,54.9,84.5,0.0,W@6.9,9.9,64.4,71.5,0.0,157,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,09:15,60.2,60.2,54.4,80.8,0.0,W@6.9,9.6,64.6,71.5,0.0,144,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,09:30,61.5,61.4,52.9,73.3,0.0,W@8.2,11.7,64.9,71.4,0.0,225,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,09:45,62.5,62.4,51.0,65.9,0.0,W@8.9,12.8,65.2,71.3,0.0,224,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,10:00,63.9,63.8,48.9,58.2,0.0,W@10.0,15.0,65.6,71.2,0.0,364,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,10:15,65.3,65.2,48.2,53.9,0.0,W@10.5,13.9,66.1,71.2,0.0,458,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,10:30,66.2,66.1,48.9,53.5,0.0,W@9.6,13.9,66.8,71.1,0.0,433,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,10:45,65.1,65.1,48.0,53.8,0.0,W@10.5,15.3,67.6,71.0,0.0,300,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,11:00,66.0,65.9,49.8,55.9,0.0,W@7.9,12.1,68.5,71.0,0.0,326,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,11:15,66.5,66.4,48.5,52.4,0.0,W@9.1,13.5,69.2,70.9,0.0,343,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,11:30,66.6,66.4,48.1,51.4,0.0,W@9.9,15.7,69.9,70.9,0.0,350,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,11:45,67.9,67.7,48.1,49.1,0.0,W@9.2,15.0,70.6,70.8,0.0,441,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,12:00,69.0,68.7,47.6,46.3,0.0,W@10.2,15.3,71.3,70.8,0.0,538,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,12:15,69.2,69.0,47.5,45.8,0.0,W@10.1,15.7,72.1,70.8,0.0,530,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,12:30,69.9,69.6,48.0,45.6,0.0,W@10.4,17.1,73.2,70.8,0.0,611,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,12:45,70.8,70.5,49.2,46.4,0.0,W@9.1,14.6,74.3,70.8,0.0,676,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,13:00,70.2,70.0,49.1,47.1,0.0,W@8.5,12.8,75.5,70.8,0.0,585,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,13:15,69.5,69.2,48.9,47.9,0.0,W@9.7,16.4,76.8,70.9,0.0,504,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,13:30,70.3,70.0,47.5,44.2,0.0,W@10.8,16.0,78.1,70.9,0.0,537,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,13:45,69.9,69.7,47.5,44.7,0.0,W@9.4,16.7,79.1,71.0,0.0,450,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,14:00,71.7,71.4,46.7,41.0,0.0,SW@9.4,14.6,79.9,71.0,0.0,615,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,14:15,71.2,70.9,49.5,46.3,0.0,SW@11.5,17.8,80.6,71.1,0.0,568,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,14:30,71.0,70.8,49.7,46.8,0.0,SW@12.2,18.2,81.3,71.2,0.0,560,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,14:45,69.3,69.2,49.0,48.4,0.0,SW@11.1,15.7,82.0,71.3,0.0,300,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,15:00,68.4,68.4,48.9,49.7,0.0,SW@9.8,14.2,82.4,71.4,0.0,193,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,15:15,68.2,68.2,48.9,50.0,0.0,W@9.7,13.2,82.5,71.5,0.0,185,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,15:30,69.2,69.1,48.8,48.2,0.0,W@10.0,13.9,82.3,71.6,0.0,270,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,15:45,69.1,69.1,47.8,46.6,0.0,W@10.0,15.0,81.9,71.8,0.0,164,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,16:00,68.2,68.2,49.1,50.4,0.0,W@9.4,14.6,81.5,71.9,0.0,128,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,16:15,68.6,68.6,47.7,47.1,0.0,W@8.3,12.1,81.1,72.1,0.0,153,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,16:30,69.2,69.1,49.0,48.6,0.0,W@7.6,13.2,80.7,72.2,0.0,208,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,16:45,69.3,69.2,48.9,48.1,0.0,W@12.8,17.5,80.3,72.4,0.0,328,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,17:00,68.0,67.9,50.0,52.5,0.0,W@12.3,17.1,80.0,72.5,0.0,151,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
2018-09-22,17:15,68.0,67.9,50.1,52.6,0.0,NW@12.7,18.9,79.7,72.6,0.0,186,"Ephrata, Grant County",330040,Ephrata,2019-06-26 03:36:21.902184
