Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2013-09-18,00:15,55.9,53.7,92.2,0.0,W@0.7,2.4,0.59,0,66.1,29.97,55.6,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,00:30,56.0,53.7,92.1,0.0,N @0.0,0.0,0.59,0,66.1,29.98,55.5,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,00:45,55.9,53.7,92.0,0.0,SW@0.4,2.4,0.61,0,66.0,29.98,55.5,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,01:00,56.5,54.3,92.2,0.0,E@0.1,2.4,0.6,0,66.0,29.98,56.3,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,01:15,57.2,54.8,91.7,0.0,SE@0.4,2.4,0.57,0,65.9,29.98,56.9,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,01:30,57.6,54.9,90.6,0.0,E@1.1,3.1,0.49,0,65.9,29.98,57.3,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,01:45,57.6,54.6,89.7,0.0,NW@0.1,1.7,0.39,0,65.8,29.99,57.2,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,02:00,57.7,54.5,88.7,0.0,W@0.1,2.8,0.27,0,65.8,29.99,57.4,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,02:15,57.6,54.3,88.7,0.0,S@0.1,2.1,0.18,0,65.8,29.99,57.1,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,02:30,57.5,54.0,88.0,0.0,S@0.8,3.5,0.08,0,65.7,29.99,57.2,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,02:45,57.1,53.3,87.1,0.0,SE@1.6,3.9,0.08,0,65.7,29.99,56.7,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
2013-09-18,03:00,56.5,52.8,87.4,0.0,SE@0.7,3.5,0.12,0,65.6,29.99,56.0,"Seattle, King County",330092,Seattle,2020-03-04 12:28:00.439424
