Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg, 8 in. SWP kPa, Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2013-07-28,00:15,56.2,SW@3.8,6.4,0.0,0,49.1,77.0,,,0.0,78.4,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,00:30,55.8,SW@3.3,5.7,0.0,0,49.1,78.3,,,0.0,78.4,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,00:45,55.0,SW@3.3,5.7,0.0,0,49.0,80.1,,,0.0,78.3,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,01:00,54.4,W@2.7,5.7,0.0,0,48.9,81.4,,,0.0,78.2,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,01:15,54.0,SW@2.2,4.6,0.0,0,48.6,81.8,,,0.0,78.2,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,01:30,53.6,SW@2.0,3.9,0.0,0,48.5,82.8,,,0.0,78.1,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,01:45,52.9,SW@0.5,2.8,0.0,0,48.2,83.8,,,0.0,78.0,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,02:00,51.5,N @0.0,0.0,0.0,0,46.5,82.9,,,0.0,77.9,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,02:15,50.1,E@0.6,2.4,0.0,0,46.4,87.2,,,0.0,77.8,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,02:30,49.5,E@0.1,2.1,0.0,0,46.5,89.1,,,0.0,77.7,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,02:45,49.0,N @0.0,0.0,0.0,0,46.2,90.1,,,0.63,77.6,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,03:00,48.0,N @0.0,0.0,0.0,0,45.6,91.1,,,1.0,77.5,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,03:15,47.1,E@0.3,2.4,0.0,0,45.3,93.1,,,1.0,77.4,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,03:30,46.9,N @0.0,0.0,0.0,0,45.3,93.9,,,1.0,77.3,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,03:45,47.1,N @0.0,0.0,0.0,0,45.7,94.8,,,1.0,77.2,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,04:00,46.7,N @0.0,0.0,0.0,0,45.2,94.4,,,1.0,77.0,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,04:15,46.6,N @0.0,0.0,0.0,0,45.3,95.4,,,1.0,76.9,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,04:30,46.2,N @0.0,0.0,0.0,0,45.1,96.1,,,1.0,76.8,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,04:45,45.8,N @0.0,0.0,0.0,0,45.0,96.9,,,1.0,76.7,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,05:00,45.6,N @0.0,0.0,0.0,0,44.9,97.3,,,1.0,76.6,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,05:15,45.1,N @0.0,0.0,0.0,0,44.4,97.3,,,1.0,76.4,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,05:30,44.8,N @0.0,0.0,0.0,0,44.1,97.4,,,1.0,76.3,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,05:45,45.5,N @0.0,0.0,0.0,1,44.9,97.9,,,1.0,76.2,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,06:00,44.8,N @0.0,0.0,0.0,3,44.1,97.5,,,1.0,76.1,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
2013-07-28,06:15,44.7,N @0.0,0.0,0.0,9,44.1,97.9,,,1.0,75.9,"Corvallis*, Linn County",100052,Corvallis*,2020-06-02 18:19:43.364217
