Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-08-10,09:15,76.8,53.6,44.6,0.0,674,E,5.2,7.4,0.0,76.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,09:30,78.0,53.1,42.0,0.0,707,E,5.3,8.9,0.0,75.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,09:45,78.5,54.5,43.4,0.0,736,E,6.3,8.9,0.0,75.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,10:00,79.8,51.7,37.6,0.0,765,E,8.0,10.7,0.0,75.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,10:15,80.9,50.1,34.3,0.0,790,E,7.6,10.7,0.0,75.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,10:30,81.5,52.2,36.2,0.0,810,E,7.5,10.3,0.0,75.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,10:45,82.1,52.1,35.4,0.0,828,E,7.6,10.7,0.0,75.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,11:00,83.1,52.0,34.1,0.0,846,E,6.8,9.9,0.0,75.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,11:15,82.8,52.3,34.9,0.0,859,E,6.6,9.2,0.0,75.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,11:30,83.1,51.8,34.0,0.0,868,E,6.2,9.2,0.0,75.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,11:45,84.6,50.3,30.6,0.0,874,E,5.7,8.5,0.0,75.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,12:00,84.4,53.5,34.6,0.0,876,NE,5.3,7.8,0.0,75.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,12:15,84.7,56.1,37.8,0.0,874,NE,6.4,9.2,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,12:30,84.8,56.5,38.0,0.0,869,E,6.7,9.6,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,12:45,85.5,56.6,37.5,0.0,859,E,7.3,9.6,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,13:00,86.2,56.6,36.6,0.0,848,E,7.1,11.0,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,13:15,87.8,55.1,32.9,0.0,832,E,7.9,11.0,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,13:30,88.1,56.0,33.7,0.0,815,E,8.0,12.4,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,13:45,89.5,53.1,29.0,0.0,794,E,8.1,11.0,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,14:00,91.8,47.9,22.2,0.0,772,S,7.5,13.2,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,14:15,93.1,44.7,19.0,0.0,746,SW,7.9,15.0,0.0,75.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,14:30,92.9,44.8,19.1,0.0,718,S,7.0,12.4,0.0,75.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,14:45,93.4,45.3,19.2,0.0,689,SW,8.7,15.3,0.0,75.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,15:00,92.9,44.6,19.0,0.0,656,S,7.9,15.0,0.0,75.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,15:15,93.4,44.6,18.7,0.0,623,SW,7.9,13.5,0.0,75.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,15:30,93.0,45.3,19.5,0.0,588,W,8.3,12.8,0.0,75.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,15:45,92.5,45.8,20.1,0.0,525,W,9.6,14.2,0.0,75.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,16:00,92.3,45.9,20.3,0.0,510,W,9.5,14.2,0.0,75.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,16:15,91.7,45.4,20.3,0.0,468,W,8.7,12.4,0.0,75.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,16:30,91.7,44.3,19.5,0.0,428,W,8.6,13.5,0.0,76.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,16:45,90.8,45.7,21.2,0.0,386,W,7.3,12.8,0.0,76.1,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,17:00,90.2,45.6,21.5,0.0,344,W,8.0,12.4,0.0,76.1,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,17:15,89.5,45.6,21.9,0.0,300,W,7.3,11.0,0.0,76.2,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,17:30,89.1,46.3,22.8,0.0,256,W,7.7,11.4,0.0,76.3,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,17:45,87.8,48.1,25.4,0.0,215,W,6.3,8.9,0.0,76.4,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,18:00,87.2,47.6,25.5,0.0,177,W,6.9,10.7,0.0,76.4,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,18:15,85.9,46.2,25.2,0.0,140,W,7.1,9.6,0.0,76.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,18:30,84.9,42.8,22.8,0.0,104,W,7.8,11.7,0.0,76.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,18:45,83.2,42.0,23.4,0.0,72,W,6.3,8.5,0.0,76.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,19:00,81.7,41.9,24.4,0.0,43,W,5.4,6.7,0.0,76.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,19:15,78.1,44.5,30.4,0.0,10,W,4.2,6.0,0.0,76.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,19:30,77.1,42.3,28.8,0.0,3,NW,5.2,10.7,0.0,76.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,19:45,81.0,39.6,22.8,0.0,0,W,6.9,12.1,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,20:00,77.0,43.4,30.2,0.0,0,NW,4.4,6.4,0.0,77.1,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,20:15,76.6,44.5,31.9,0.0,0,W,6.4,9.9,0.0,77.1,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,20:30,76.2,43.7,31.4,0.0,0,W,5.8,9.9,0.0,77.2,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,20:45,76.1,41.6,29.1,0.0,0,W,5.2,9.6,0.0,77.3,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,21:00,73.8,41.5,31.2,0.0,0,NW,4.2,7.8,0.0,77.3,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,21:15,74.7,38.5,27.0,0.0,0,NW,6.1,9.9,0.0,77.4,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,21:30,74.9,38.5,26.8,0.0,0,NW,4.6,11.4,0.0,77.4,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,21:45,73.1,39.9,30.1,0.0,0,S,2.9,4.9,0.0,77.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,22:00,70.1,41.6,35.5,0.0,0,SW,3.4,5.3,0.0,77.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,22:15,70.7,42.1,35.6,0.0,0,W,4.2,9.6,0.0,77.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,22:30,70.1,42.7,37.2,0.0,0,E,1.5,8.5,0.0,77.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,22:45,69.1,46.3,44.0,0.0,0,SW,3.1,5.3,0.0,77.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,23:00,65.7,48.4,53.6,0.0,0,SW,2.4,3.5,0.0,77.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
