Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2012-06-21,00:15,55.9,56.3,48.6,76.3,0.0,SW@3.6,4.2,69.9,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,00:30,55.2,55.5,49.1,79.9,0.0,SW@3.7,4.2,69.9,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,00:45,55.6,55.9,48.3,76.3,0.0,SW@4.2,4.9,69.9,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,01:00,55.7,56.2,48.8,77.6,0.0,SW@3.7,4.2,69.8,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,01:15,57.1,57.7,48.3,72.2,0.0,SW@3.6,4.2,69.8,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,01:30,57.9,58.4,46.6,65.9,0.0,W@3.3,3.9,69.8,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,01:45,58.2,58.4,45.9,63.5,0.0,W@2.8,3.5,69.7,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,02:00,57.4,57.7,46.6,67.1,0.0,SW@3.5,4.6,69.7,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,02:15,59.0,59.4,44.1,57.8,0.0,W@3.6,4.6,69.6,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,02:30,57.7,58.0,45.6,63.9,0.0,SW@3.5,4.6,69.6,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,02:45,58.0,58.5,44.4,60.4,0.0,W@3.4,4.6,69.5,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,03:00,57.6,57.8,45.7,64.6,0.0,SW@3.2,4.2,69.5,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,03:15,58.6,59.2,44.0,58.1,0.0,W@3.1,3.9,69.4,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,03:30,58.6,59.1,43.6,57.3,0.0,W@3.6,4.9,69.3,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,03:45,58.6,58.9,43.8,57.9,0.0,W@2.8,4.6,69.3,0.0,0,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,04:00,57.9,58.2,44.4,60.7,0.0,W@3.1,3.9,69.2,0.0,1,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,04:15,57.7,58.0,43.8,59.7,0.0,W@3.1,3.9,69.2,0.0,8,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,04:30,55.8,56.1,45.2,67.4,0.0,SW@3.9,4.9,69.1,0.0,21,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,04:45,56.4,56.8,44.6,64.5,0.0,W@3.6,5.7,69.0,0.0,32,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,05:00,57.1,57.6,43.5,60.3,0.0,W@3.9,6.0,69.0,0.0,46,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,05:15,57.6,58.0,43.8,59.9,0.0,W@3.5,4.9,68.9,0.0,73,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,05:30,58.5,59.0,43.7,57.8,0.0,W@3.9,5.7,68.8,0.0,100,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,05:45,59.5,60.2,44.4,57.4,0.0,W@4.1,5.7,68.8,0.0,174,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,06:00,61.2,62.0,45.2,55.6,0.0,NW@3.5,5.3,68.7,0.0,241,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,06:15,62.2,62.8,45.1,53.4,0.0,NW@5.3,7.8,68.6,0.0,269,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,06:30,62.7,63.3,46.3,55.0,0.0,NW@5.3,8.2,68.6,0.0,278,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,06:45,64.9,65.5,46.1,50.6,0.0,N@6.5,8.9,68.5,0.0,354,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
2012-06-21,07:00,65.1,65.6,47.0,52.0,0.0,N@7.5,12.4,68.4,0.0,394,"Frenchman Hills, Grant County",330023,Frenchman Hills,2017-12-12 20:12:29.670760
