Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2021-01-12,23:15,58.7,51.5,77.0,0.0,0,29.34,S,18.9,35.3,46.4,44.7,-6.8,-7.5,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-12,23:30,58.3,51.6,78.4,0.01,0,29.33,S,17.5,31.7,46.5,44.8,-6.8,-7.5,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-12,23:45,58.1,51.9,79.8,0.01,0,29.33,S,19.2,38.4,46.6,44.8,-6.8,-7.5,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-12,24:00,57.8,52.1,81.1,0.01,0,29.34,S,15.9,29.4,46.8,44.8,-6.8,-7.5,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-13,00:15,56.1,52.2,86.5,0.04,0,29.36,S,13.4,28.2,46.8,44.9,-6.8,-7.5,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-13,00:30,55.0,51.7,88.3,0.01,0,29.35,S,12.8,23.8,46.9,45.0,-6.8,-7.4,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-13,00:45,54.4,52.1,92.0,0.11,0,29.39,SW,14.4,37.5,47.1,45.0,-6.8,-7.4,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-13,01:00,50.4,49.7,97.4,0.0,0,29.44,S,16.1,33.6,47.2,45.1,-6.8,-7.4,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-13,01:15,50.9,45.3,81.0,0.0,0,29.5,SW,16.8,27.1,47.3,45.1,-6.8,-7.4,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
2021-01-13,01:30,49.7,42.0,74.7,0.0,0,29.57,SW,12.5,26.4,47.3,45.1,-6.8,-7.4,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:42:25.202383
