Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph,Location,Station ID,Station Name,Download Timestamp
2021-04-05,00:15,37.5,32.1,80.5,0.0,0,30.27,NW,1.0,2.3,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,00:30,37.2,31.9,80.9,0.0,0,30.27,E,1.5,2.5,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,00:45,36.7,31.6,81.5,0.0,0,30.27,SE,1.1,1.8,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,01:00,36.0,31.8,84.7,0.0,0,30.27,NE,1.7,4.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,01:15,35.2,31.6,86.7,0.0,0,30.27,NE,2.5,3.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,01:30,35.2,31.6,86.4,0.0,0,30.27,NE,1.6,3.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,01:45,35.0,31.9,88.2,0.0,0,30.27,W,1.3,3.8,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,02:00,36.3,32.8,86.8,0.0,0,30.27,E,2.8,5.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,02:15,37.6,34.0,86.7,0.0,0,30.27,NE,2.6,4.5,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,02:30,38.1,34.4,86.6,0.0,0,30.27,E,4.9,8.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,02:45,38.3,34.3,85.5,0.0,0,30.27,NE,6.2,11.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,03:00,38.1,34.0,85.2,0.0,0,30.26,NE,6.2,9.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,03:15,37.9,33.8,85.1,0.0,0,30.26,NE,7.3,11.5,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,03:30,37.8,33.6,84.7,0.0,0,30.26,E,5.5,12.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,03:45,37.4,33.5,85.9,0.0,0,30.27,NE,7.1,11.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,04:00,37.3,33.3,85.3,0.0,0,30.27,NE,5.3,8.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,04:15,37.2,33.2,85.4,0.0,0,30.27,NE,5.7,8.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,04:30,37.0,33.0,85.4,0.0,0,30.27,E,6.2,9.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,04:45,36.8,33.1,86.2,0.0,0,30.27,NE,6.3,9.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
2021-04-05,05:00,36.9,33.1,86.1,0.0,0,30.27,NE,6.1,8.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:27:29.434589
