Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph,Location,Station ID,Station Name,Download Timestamp
2021-03-05,23:15,46.6,38.8,74.0,0.0,0,29.92,SE,8.5,13.6,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-05,23:30,46.6,38.7,74.0,0.0,0,29.92,SE,8.3,16.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-05,23:45,45.7,38.8,76.7,0.0,0,29.92,SE,6.2,14.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-05,24:00,45.3,38.7,77.6,0.0,0,29.92,SE,5.9,12.8,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,00:15,46.1,38.5,74.6,0.0,0,29.92,SE,9.2,16.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,00:30,46.0,38.5,74.8,0.0,0,29.92,SE,9.8,20.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,00:45,45.8,38.7,76.0,0.0,0,29.91,SE,9.2,18.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,01:00,44.9,38.7,78.9,0.0,0,29.91,SE,7.5,14.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,01:15,45.2,38.6,77.6,0.0,0,29.91,SE,12.3,20.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,01:30,45.2,38.5,77.1,0.0,0,29.91,SE,11.3,20.6,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,01:45,45.3,38.4,76.7,0.0,0,29.91,SE,11.9,17.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,02:00,45.3,38.4,76.7,0.0,0,29.91,SE,11.5,18.8,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,02:15,45.1,38.4,77.0,0.0,0,29.91,SE,11.2,18.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,02:30,45.5,38.3,75.8,0.0,0,29.91,SE,12.1,20.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,02:45,45.7,38.4,75.6,0.0,0,29.92,SE,11.7,18.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,03:00,45.7,38.6,76.0,0.0,0,29.93,SE,10.4,16.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,03:15,45.6,38.5,75.9,0.0,0,29.93,SE,9.8,17.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,03:30,45.5,38.2,75.6,0.0,0,29.92,SE,12.6,18.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,03:45,45.2,38.0,75.5,0.0,0,29.92,SE,12.3,20.6,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,04:00,45.3,37.8,75.0,0.0,0,29.92,SE,11.6,20.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
2021-03-06,04:15,45.5,37.8,74.3,0.0,0,29.93,SE,11.6,19.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-15 13:26:53.768637
