Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-05-29,00:15,67.0,67.0,46.8,48.2,0.0,NW@8.1,11.7,76.1,77.9,14.0,0.0,0,29.89,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,00:30,66.7,66.7,46.7,48.6,0.0,NW@8.4,13.5,75.8,77.8,14.0,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,00:45,66.3,66.3,46.5,48.9,0.0,W@8.6,12.4,75.5,77.7,14.0,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,01:00,65.0,65.1,46.9,51.9,0.0,NW@8.4,13.2,75.3,77.6,14.0,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,01:15,64.1,64.2,47.1,53.9,0.0,NW@8.9,11.7,75.0,77.5,14.0,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,01:30,64.0,64.1,46.9,53.6,0.0,NW@8.7,12.4,74.7,77.4,14.0,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,01:45,63.9,64.0,46.8,53.6,0.0,W@7.4,12.4,74.5,77.4,14.0,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,02:00,62.4,62.5,47.4,57.7,0.0,W@4.6,7.4,74.2,77.3,14.0,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,02:15,60.4,60.5,48.6,65.1,0.0,W@5.5,8.5,74.0,77.2,13.9,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,02:30,62.2,62.3,47.3,58.1,0.0,W@6.3,8.9,73.8,77.1,13.9,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,02:45,61.7,61.7,47.3,59.1,0.0,W@6.5,8.5,73.6,77.0,14.0,0.0,0,29.9,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
2019-05-29,03:00,60.9,61.0,47.4,61.0,0.0,W@5.6,8.2,73.3,76.9,14.0,0.0,0,29.91,"Red.Mtn.S (Red Mountain), Benton City, Benton County",300254,Red.Mtn.S,2019-06-25 20:30:11.778244
