Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2016-03-09,23:15,40.4,40.3,99.3,0.0,N @2.5,5.3,0.42,0,40.8,42.7,39.3,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-09,23:30,40.5,40.4,99.3,0.0,N @3.1,5.3,0.44,0,40.8,42.6,39.3,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-09,23:45,40.7,40.4,99.0,0.01,N @2.4,4.9,0.43,0,40.8,42.6,39.3,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-09,24:00,40.1,39.9,99.2,0.02,E@1.7,3.1,0.42,0,40.9,42.6,39.3,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-10,00:15,39.6,39.5,99.8,0.0,S@1.2,4.2,0.42,0,40.9,42.6,39.3,29.58,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-10,00:30,40.1,40.1,100.0,0.01,NW@1.1,2.8,0.41,0,40.9,42.6,39.3,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-10,00:45,40.0,40.0,100.0,0.02,SE@1.2,2.8,0.4,0,40.9,42.5,39.3,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-10,01:00,39.7,39.7,100.0,0.01,NE@1.3,2.4,0.4,0,40.9,42.5,39.4,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-10,01:15,39.6,39.6,100.0,0.02,E@2.2,3.1,0.39,0,40.9,42.5,39.5,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-10,01:30,39.9,39.9,100.0,0.02,W@1.4,3.1,0.38,0,40.9,42.5,39.4,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-10,01:45,39.7,39.7,100.0,0.0,SW@1.0,2.8,0.38,0,40.9,42.5,39.3,29.59,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
2016-03-10,02:00,39.4,39.4,100.0,0.03,W@1.5,3.1,0.39,0,40.9,42.5,39.3,29.6,"Husum, White Salmon, Klickitat County",310029,Husum,2020-06-01 13:28:20.204193
